Code,Broker Name,Total Buy(K),Total Sell(K),Total Value(K)
AD,OSO Sekuritas Indonesia,869475,35521,904996
AF,Harita Kencana Sekuritas,4605217,1348683,5953900
AG,Kiwoom Sekuritas Indonesia,64676624,34521805,99198429
AH,Shinhan Sekuritas Indonesia,6321011,4455532,10776543
AI,UOB Kay Hian Sekuritas,58160758,66732928,124893686
AK,UBS Sekuritas Indonesia,1021294082,1020137949,2041432030
AN,Wanteg Sekuritas,4450178,4681280,9131458
AO,ERDIKHA ELIT SEKURITAS,63393071,61769869,125162940
AP,Pacific Sekuritas Indonesia,32203299,26945588,59148887
AR,Binaartha Sekuritas,7276436,10076458,17352894
AT,Phintraco Sekuritas,48815570,48249547,97065118
AZ,Sucor Sekuritas,529398454,465365925,994764379
BB,Verdhana Sekuritas Indonesia,187161829,169348329,356510158
BF,Inti Fikasa Sekuritas,12164366,260436,12424802
BK,J.P. Morgan Sekuritas Indonesia,422650601,458825821,881476421
BQ,Korea Investment and Sekuritas Indonesia,169366553,168544544,337911097
BR,Trust Sekuritas,55622105,54978199,110600304
BS,Equity Sekuritas Indonesia,1710961,4264573,5975533
CC,MANDIRI SEKURITAS,1103844714,1396517271,2500361985
CD,Mega Capital Sekuritas,78212710,77703386,155916096
CP,KB Valbury Sekuritas,537347464,530244084,1067591548
DD,Makindo Sekuritas,70657,107767,178424
DH,SINARMAS SEKURITAS,174474199,368040404,542514603
DP,DBS Vickers Sekuritas Indonesia,41627210,47355312,88982522
DR,RHB Sekuritas Indonesia,145023014,144744144,289767158
DU,KAF Sekuritas Indonesia,7895662,5836820,13732481
DX,Bahana Sekuritas,175691056,163382532,339073588
EL,Evergreen Sekuritas Indonesia,14123206,13686178,27809383
EP,MNC Sekuritas,226241986,222838607,449080593
ES,EKOKAPITAL SEKURITAS,61625143,5295158,66920301
FO,Forte Global Sekuritas,40881,39660,80541
FS,Yuanta Sekuritas Indonesia,15823010,12454749,28277759
FZ,Waterfront Sekuritas Indonesia,16791164,15675474,32466638
GA,BNC Sekuritas Indonesia,5551294,13138530,18689824
GI,Webull Sekuritas Indonesia,1730602,1667004,3397606
GR,PANIN SEKURITAS Tbk.,196340593,138946745,335287338
GW,HSBC Sekuritas Indonesia,5850445,19019033,24869478
HD,KGI Sekuritas Indonesia,77927960,88151837,166079796
HP,Henan Putihrai Sekuritas,72187174,36775184,108962358
IC,Integrity Capital Sekuritas,23600,0,23600
ID,Anugerah Sekuritas Indonesia,13132335,14091286,27223621
IF,SAMUEL SEKURITAS INDONESIA,250877441,145718371,396595813
IH,Indo Harvest Sekuritas,30674848,23940485,54615334
II,Danatama Makmur Sekuritas,13767920,11551141,25319061
IN,INVESTINDO NUSANTARA SEKURITA,56201122,45567031,101768152
IP,Yugen Bertumbuh Sekuritas,0,32859,32859
IT,INTI TELADAN SEKURITAS,1804222,653293,2457514
IU,Indo Capital Sekuritas,21810445,29330481,51140926
JB,[CC] BJB Sekuritas Jawa Barat,5966091,2068714,8034805
KI,Ciptadana Sekuritas Asia,80704634,142027289,222731924
KK,Phillip Sekuritas Indonesia,228419324,198532475,426951800
KZ,CLSA Sekuritas Indonesia,188974547,394498331,583472878
LG,Trimegah Sekuritas Indonesia Tbk.,274439447,364719140,639158587
LS,Reliance Sekuritas Indonesia Tbk.,16907790,14695120,31602910
MG,Semesta Indovest Sekuritas,515330227,387334242,902664469
MI,Victoria Sekuritas Indonesia,6232423,5738012,11970435
MU,Minna Padi Investama Sekuritas,31174098,29512109,60686206
NI,BNI Sekuritas,284804518,295085652,579890170
OD,BRI Danareksa Sekuritas,209268811,194992950,404261761
OK,NET SEKURITAS,3038865,2533255,5572120
PC,FAC Sekuritas Indonesia,21776249,19790072,41566321
PD,Indo Premier Sekuritas,587060439,613445787,1200506225
PF,Danasakti Sekuritas Indonesia,4278148,4839529,9117677
PG,Panca Global Sekuritas,5338021,5463396,10801417
PI,Magenta Kapital Sekuritas Indonesia,3429061,3297272,6726333
PO,Pilarmas Investindo Sekuritas,25160068,24725480,49885549
PP,Aldiracita Sekuritas Indonesia,1739753,15330965,17070718
PS,PARAMITRA ALFA SEKURITAS,3504140,3984011,7488151
QA,Tuntun Sekuritas Indonesia,796584,3759141,4555725
RB,Ina Sekuritas Indonesia,2130476,2964014,5094489
RF,Buana Capital Sekuritas,35462992,46264696,81727687
RG,Profindo Sekuritas Indonesia,9313881,7927223,17241105
RO,Pluang Maju Sekuritas,16970372,12196358,29166730
