Code,Broker Name,Total Buy(K),Total Sell(K),Total Value(K)
AD,OSO Sekuritas Indonesia,1507605,1977472,3485077
AF,Harita Kencana Sekuritas,2772507,6007852,8780360
AG,Kiwoom Sekuritas Indonesia,84859907,43792498,128652405
AH,Shinhan Sekuritas Indonesia,14054622,13471537,27526158
AI,UOB Kay Hian Sekuritas,72160015,58585985,130746001
AK,UBS Sekuritas Indonesia,1307904867,1431838761,2739743627
AN,Wanteg Sekuritas,6283307,5219851,11503158
AO,ERDIKHA ELIT SEKURITAS,72462311,64887544,137349855
AP,Pacific Sekuritas Indonesia,81072221,81219660,162291881
AR,Binaartha Sekuritas,14352115,17572875,31924990
AT,Phintraco Sekuritas,57781541,51533730,109315271
AZ,Sucor Sekuritas,241428536,247188512,488617048
BB,Verdhana Sekuritas Indonesia,78890297,263928664,342818962
BF,Inti Fikasa Sekuritas,70300,12019278,12089578
BK,J.P. Morgan Sekuritas Indonesia,469746859,526378830,996125689
BQ,Korea Investment and Sekuritas Indonesia,175370886,160021651,335392537
BR,Trust Sekuritas,67744615,70533762,138278377
BS,Equity Sekuritas Indonesia,1990455,4056456,6046911
CC,MANDIRI SEKURITAS,1302645284,1384268097,2686913382
CD,Mega Capital Sekuritas,32032726,59612736,91645462
CP,KB Valbury Sekuritas,510734783,448707894,959442676
DD,Makindo Sekuritas,268611,47437,316048
DH,SINARMAS SEKURITAS,176596673,219775172,396371844
DP,DBS Vickers Sekuritas Indonesia,15482858,29567603,45050461
DR,RHB Sekuritas Indonesia,188167743,159147491,347315234
DU,KAF Sekuritas Indonesia,6562872,5627239,12190111
DX,Bahana Sekuritas,98942727,240634962,339577689
EL,Evergreen Sekuritas Indonesia,18290273,13631525,31921797
EP,MNC Sekuritas,190145943,197105728,387251671
ES,EKOKAPITAL SEKURITAS,9660863,14291852,23952715
FO,Forte Global Sekuritas,14200,15788,29988
FS,Yuanta Sekuritas Indonesia,25134319,64891104,90025422
FZ,Waterfront Sekuritas Indonesia,18651203,18529522,37180725
GA,BNC Sekuritas Indonesia,21929468,14121984,36051452
GI,Webull Sekuritas Indonesia,3381954,3375420,6757375
GR,PANIN SEKURITAS Tbk.,245677020,249008408,494685428
GW,HSBC Sekuritas Indonesia,0,41000,41000
HD,KGI Sekuritas Indonesia,90863524,89241956,180105480
HP,Henan Putihrai Sekuritas,171033705,109053540,280087245
IC,Integrity Capital Sekuritas,1127990,0,1127990
ID,Anugerah Sekuritas Indonesia,336073969,329274044,665348013
IF,SAMUEL SEKURITAS INDONESIA,118105614,165267848,283373462
IH,Indo Harvest Sekuritas,27833117,29309956,57143073
II,Danatama Makmur Sekuritas,24405045,2834719,27239764
IN,INVESTINDO NUSANTARA SEKURITA,25362823,27575594,52938417
IP,Yugen Bertumbuh Sekuritas,0,1155,1155
