Code,Broker Name,Total Buy(K),Total Sell(K),Total Value(K)
AD,OSO Sekuritas Indonesia,132847,329777,462623
AF,Harita Kencana Sekuritas,3401671,4172320,7573991
AG,Kiwoom Sekuritas Indonesia,62999772,45779822,108779594
AH,Shinhan Sekuritas Indonesia,9597190,5292796,14889986
AI,UOB Kay Hian Sekuritas,64022618,66974476,130997095
AK,UBS Sekuritas Indonesia,1390820023,1168461595,2559281618
AN,Wanteg Sekuritas,4184130,6951889,11136019
AO,ERDIKHA ELIT SEKURITAS,57260695,54195040,111455734
AP,Pacific Sekuritas Indonesia,59176495,62026495,121202990
AR,Binaartha Sekuritas,11267094,11715264,22982358
AT,Phintraco Sekuritas,48248181,45383603,93631783
AZ,Sucor Sekuritas,246535196,259679081,506214276
BB,Verdhana Sekuritas Indonesia,226987007,97676070,324663077
BF,Inti Fikasa Sekuritas,15074850,616760,15691610
BK,J.P. Morgan Sekuritas Indonesia,577509084,777068359,1354577443
BQ,Korea Investment and Sekuritas Indonesia,173528824,186367345,359896170
BR,Trust Sekuritas,57055728,56647441,113703169
BS,Equity Sekuritas Indonesia,4191658,756918,4948576
CC,MANDIRI SEKURITAS,1340525480,1294153279,2634678758
CD,Mega Capital Sekuritas,16888679,21429646,38318325
CP,KB Valbury Sekuritas,505557482,487972355,993529836
DD,Makindo Sekuritas,116741,17105,133846
DH,SINARMAS SEKURITAS,148435605,198388166,346823771
DP,DBS Vickers Sekuritas Indonesia,103300889,19499709,122800598
DR,RHB Sekuritas Indonesia,175538725,146665349,322204074
DU,KAF Sekuritas Indonesia,9301877,5118647,14420524
DX,Bahana Sekuritas,174008419,94623741,268632160
EL,Evergreen Sekuritas Indonesia,13393580,13142021,26535600
EP,MNC Sekuritas,155682325,119163898,274846222
ES,EKOKAPITAL SEKURITAS,8435939,4247193,12683131
FO,Forte Global Sekuritas,6740,127177,133917
FS,Yuanta Sekuritas Indonesia,41716915,13808751,55525666
FZ,Waterfront Sekuritas Indonesia,15242225,15311168,30553392
GA,BNC Sekuritas Indonesia,8880279,7903337,16783616
GI,Webull Sekuritas Indonesia,1269258,1213051,2482309
GR,PANIN SEKURITAS Tbk.,164956010,175697489,340653499
GW,HSBC Sekuritas Indonesia,13781221,38196029,51977250
HD,KGI Sekuritas Indonesia,71563656,88037635,159601291
HP,Henan Putihrai Sekuritas,414224222,353876599,768100821
IC,Integrity Capital Sekuritas,1136125,0,1136125
ID,Anugerah Sekuritas Indonesia,6363929,5705319,12069248
IF,SAMUEL SEKURITAS INDONESIA,131284500,138253950,269538450
IH,Indo Harvest Sekuritas,25926728,23510402,49437130
II,Danatama Makmur Sekuritas,17028192,13188145,30216337
IN,INVESTINDO NUSANTARA SEKURITA,29745528,23453874,53199403
IP,Yugen Bertumbuh Sekuritas,0,1656,1656
IT,INTI TELADAN SEKURITAS,1516874,697224,2214098
IU,Indo Capital Sekuritas,25432442,16053357,41485799
JB,[CC] BJB Sekuritas Jawa Barat,3826449,1752730,5579179
KI,Ciptadana Sekuritas Asia,74790046,116607908,191397954
KK,Phillip Sekuritas Indonesia,226415108,207569743,433984851
KZ,CLSA Sekuritas Indonesia,268714085,339132146,607846232
LG,Trimegah Sekuritas Indonesia Tbk.,301557219,267451447,569008666
LS,Reliance Sekuritas Indonesia Tbk.,21811245,19786480,41597724
MG,Semesta Indovest Sekuritas,556194872,572155521,1128350393
MI,Victoria Sekuritas Indonesia,15829944,7500791,23330735
MU,Minna Padi Investama Sekuritas,53012920,58372927,111385847
NI,BNI Sekuritas,347639923,346559748,694199671
OD,BRI Danareksa Sekuritas,205140197,195002444,400142641
OK,NET SEKURITAS,2439508,1628495,4068003
PC,FAC Sekuritas Indonesia,19980073,23866474,43846546
PD,Indo Premier Sekuritas,626281041,443977058,1070258099
PF,Danasakti Sekuritas Indonesia,18422988,7965717,26388705
PI,Magenta Kapital Sekuritas Indonesia,3224420,3629446,6853866
PO,Pilarmas Investindo Sekuritas,29567404,22587756,52155160
PP,Aldiracita Sekuritas Indonesia,22600355,5876183,28476538
PS,PARAMITRA ALFA SEKURITAS,4405297,6472893,10878190
QA,Tuntun Sekuritas Indonesia,439296,883885,1323182
RB,Ina Sekuritas Indonesia,7581747,5071768,12653515
RF,Buana Capital Sekuritas,24361124,38730562,63091687
RG,Profindo Sekuritas Indonesia,7256653,7871552,15128205
RO,Pluang Maju Sekuritas,22555466,22088370,44643836
RS,Yulie Sekuritas Indonesia Tbk.,1052460,1887860,2940320
RX,Macquarie Sekuritas Indonesia,205754430,768923687,974678117
SA,Elit Sukses Sekuritas,8020911,10348804,18369715
SF,Surya Fajar Sekuritas,5252221,7528923,12781144
SH,Artha Sekuritas Indonesia,25730483,22868690,48599173
SQ,BCA Sekuritas,294487160,325283441,619770601
SS,Supra Sekuritas Indonesia,53824672,83701508,137526180
TF,Universal Broker Indonesia Sekuritas,2124235,2677377,4801612
TP,OCBC Sekuritas Indonesia,126017106,94705910,220723016
TS,Dwidana Sakti Sekuritas,19704865,24067998,43772863
XA,NH Korindo Sekuritas Indonesia,105180068,154122271,259302339
XC,Ajaib Sekuritas Asia,472718798,453476660,926195458
XL,Stockbit Sekuritas Digital,1273140134,1024559617,2297699751
YB,Yakin Bertumbuh Sekuritas,195704484,125684895,321389379
YJ,Lotus Andalan Sekuritas,79526588,76908841,156435429
YO,Amantara Sekuritas Indonesia,79950740,79817065,159767804
YP,Mirae Asset Sekuritas Indonesia,1115556099,1118268940,2233825039
YU,CGS International Sekuritas Indonesia,652400837,848846308,1501247145
ZP,Maybank Sekuritas Indonesia,1455683981,1547692305,3003376286
ZR,Bumiputera Sekuritas,4342262,10009090,14351352

