,,Net,,,Foreign Net,,,,Buy,,,,,Sell,,,,,Foreign Buy,,,,,Foreign Sell,,
Code,,Val (M),Vol,,Val(M),Vol,,Freq,Vol,Val(M),AVG,,Freq,Vol,Val(M),AVG,,Freq,Vol,Val(M),AVG,,Freq,Vol,Val(M),AVG
LPKR,,18718,1738856,,0,0,,1117,1788894,19264,108,,49,50038,546,109,,0,0,0,0,,0,0,0,0,
BEKS,,1451,580705,,0,0,,93,585805,1465,25,,12,5100,13,26,,0,0,0,0,,0,0,0,0,
JGLE,,384,274185,,0,0,,66,454185,636,14,,19,180000,252,14,,0,0,0,0,,0,0,0,0,
GOTO,,1194,242613,,0,0,,111,2097764,11748,56,,1629,1855151,10554,57,,0,0,0,0,,0,0,0,0,
CBRE,,10541,225939,,0,0,,35753,1300589,58263,448,,9396,1074650,47722,444,,0,0,0,0,,0,0,0,0,
PIPA,,3393,165708,,0,0,,1515,454345,9254,204,,954,288637,5861,203,,0,0,0,0,,0,0,0,0,
ZINC,,436,155567,,0,0,,91,169609,475,28,,3,14042,39,28,,0,0,0,0,,0,0,0,0,
EPAC,,482,146116,,0,0,,157,189777,626,33,,6,43661,144,33,,0,0,0,0,,0,0,0,0,
PBRX,,622,124372,,0,0,,47,124372,622,50,,0,0,0,0,,0,0,0,0,,0,0,0,0,
BRMS,,5822,117765,,0,0,,612,281783,13938,495,,441,164018,8116,495,,0,0,0,0,,0,0,0,0,
DEWA,,2564,116952,,0,0,,74,130668,2866,219,,50,13716,303,221,,0,0,0,0,,0,0,0,0,
TAMU,,284,101898,,0,0,,109,107098,299,28,,3,5200,15,29,,0,0,0,0,,0,0,0,0,
VIVA,,357,96772,,0,0,,77,96772,357,37,,0,0,0,0,,0,0,0,0,,0,0,0,0,
WIRG,,1762,92722,,0,0,,1223,1068278,18461,173,,1933,975556,16699,171,,0,0,0,0,,0,0,0,0,
LAJU,,445,58438,,0,0,,305,146760,1122,76,,391,88322,677,77,,0,0,0,0,,0,0,0,0,
MDKA,,12385,48221,,26,100,,597,97850,25422,2598,,773,49629,13037,2627,,1,100,26,2620,,0,0,0,0,
RAJA,,13051,46514,,0,0,,1133,94570,26456,2797,,795,48056,13405,2789,,0,0,0,0,,0,0,0,0,
ANTM,,14820,42569,,0,0,,959,111755,39347,3521,,1464,69186,24527,3545,,1,100,35,3520,,5,100,36,3550,
BRPT,,9411,42142,,0,0,,462,46428,10365,2232,,130,4286,954,2225,,0,0,0,0,,0,0,0,0,
BKSL,,514,39090,,0,0,,43,40475,532,131,,7,1385,18,131,,0,0,0,0,,0,0,0,0,
BUMI,,409,38622,,0,0,,110,107820,1176,109,,194,69198,767,111,,0,0,0,0,,0,0,0,0,
