,,Net,,,Foreign Net,,,,Buy,,,,,Sell,,,,,Foreign Buy,,,,,Foreign Sell,,
Code,,Val (M),Vol,,Val(M),Vol,,Freq,Vol,Val(M),AVG,,Freq,Vol,Val(M),AVG,,Freq,Vol,Val(M),AVG,,Freq,Vol,Val(M),AVG
BUMI,,17267,1495643,,0,0,,3887,6738828,79544,118,,4120,5243185,62276,119,,0,0,0,0,,0,0,0,0,
HMSP,,25113,356775,,0,0,,2675,1181617,80711,683,,3262,824842,55598,674,,0,0,0,0,,0,0,0,0,
IATA,,2960,321773,,0,0,,263,321798,2961,92,,1,25,0,92,,0,0,0,0,,0,0,0,0,
ISAP,,1254,311491,,0,0,,467,312830,1259,40,,39,1339,5,40,,0,0,0,0,,0,0,0,0,
PADI,,2858,307348,,0,0,,121,317352,2951,93,,2,10004,93,93,,0,0,0,0,,0,0,0,0,
BNBR,,1585,304748,,0,0,,147,308748,1605,52,,2,4000,21,52,,0,0,0,0,,0,0,0,0,
BEKS,,790,254999,,0,0,,33,254999,790,31,,0,0,0,0,,0,0,0,0,,0,0,0,0,
TAMU,,791,197704,,0,0,,122,363836,1455,40,,17,166132,665,40,,0,0,0,0,,0,0,0,0,
LOPI,,1544,156015,,0,0,,252,162629,1609,99,,20,6614,65,98,,0,0,0,0,,0,0,0,0,
BSBK,,1310,152031,,0,0,,1411,726892,7024,97,,1106,574861,5714,99,,0,0,0,0,,0,0,0,0,
MPXL,,1450,79938,,0,0,,570,93930,1711,182,,109,13992,261,186,,0,0,0,0,,0,0,0,0,
TAXI,,154,76827,,0,0,,44,76827,154,20,,0,0,0,0,,0,0,0,0,,0,0,0,0,
GIAA,,485,68344,,0,0,,14,69944,497,71,,3,1600,11,71,,0,0,0,0,,0,0,0,0,
ELTY,,121,66966,,0,0,,57,66966,121,18,,0,0,0,0,,0,0,0,0,,0,0,0,0,
MPPA,,441,61623,,0,0,,118,130529,942,72,,108,68906,501,73,,0,0,0,0,,0,0,0,0,
WINR,,206,55666,,0,0,,48,56830,210,37,,2,1164,4,37,,0,0,0,0,,0,0,0,0,
YELO,,394,55311,,0,0,,81,82907,578,70,,57,27596,184,67,,0,0,0,0,,0,0,0,0,
CNKO,,537,54579,,0,0,,35,58779,578,98,,20,4200,41,97,,0,0,0,0,,0,0,0,0,
PTRO,,22051,52915,,0,0,,1227,93591,39060,4173,,499,40676,17009,4182,,0,0,0,0,,0,0,0,0,
MIRA,,332,49500,,0,0,,67,54333,364,67,,4,4833,32,66,,0,0,0,0,,0,0,0,0,
OASA,,1180,45470,,0,0,,89,73892,1938,262,,85,28422,758,267,,0,0,0,0,,0,0,0,0,
WOWS,,329,35373,,0,0,,2206,177906,1748,98,,532,142533,1419,100,,0,0,0,0,,0,0,0,0,
BMBL,,174,33453,,0,0,,6,33753,176,52,,7,300,1,48,,0,0,0,0,,0,0,0,0,
PACK,,6867,31883,,0,0,,566,32092,6911,2154,,11,209,44,2116,,0,0,0,0,,0,0,0,0,
MMLP,,1726,31846,,0,0,,88,31866,1727,542,,1,20,1,540,,0,0,0,0,,0,0,0,0,
IMJS,,897,31585,,0,0,,251,84702,2332,275,,278,53117,1435,270,,0,0,0,0,,0,0,0,0,
TOBA,,3863,31104,,0,0,,350,52618,6561,1247,,108,21514,2698,1254,,0,0,0,0,,0,0,0,0,
DATA,,12556,29005,,0,0,,578,60185,25197,4187,,801,31180,12641,4054,,0,0,0,0,,0,0,0,0,
PCAR,,141,27200,,0,0,,69,27800,145,52,,1,600,3,52,,0,0,0,0,,0,0,0,0,
BULL,,501,25035,,0,0,,445,212189,4365,206,,708,187154,3864,206,,0,0,0,0,,0,0,0,0,
MLPL,,334,24302,,0,0,,212,225368,3453,153,,384,201066,3119,155,,0,0,0,0,,0,0,0,0,
PADA,,139,23937,,0,0,,25,23937,139,58,,0,0,0,0,,0,0,0,0,,0,0,0,0,
WMUU,,66,23579,,0,0,,55,23579,66,28,,0,0,0,0,,0,0,0,0,,0,0,0,0,
ANTM,,8323,23389,,0,0,,862,52989,18836,3555,,311,29600,10513,3552,,0,0,0,0,,0,0,0,0,
ADCP,,156,23017,,0,0,,436,295316,1964,67,,590,272299,1808,66,,0,0,0,0,,0,0,0,0,
WSBP,,70,22552,,0,0,,16,138714,431,31,,111,116162,361,31,,0,0,0,0,,0,0,0,0,
CUAN,,3204,21276,,0,0,,95,21379,3219,1506,,8,103,15,1468,,0,0,0,0,,0,0,0,0,
BRRC-W,,30,20676,,0,0,,22,27109,39,15,,1,6433,10,15,,0,0,0,0,,0,0,0,0,
IKAI,,74,18955,,0,0,,9,18955,74,39,,0,0,0,0,,0,0,0,0,,0,0,0,0,
MINA,,262,16734,,0,0,,60,39246,632,161,,127,22512,370,164,,0,0,0,0,,0,0,0,0,
EMDE,,175,16580,,0,0,,45,17082,181,106,,9,502,5,107,,0,0,0,0,,0,0,0,0,
NASI,,149,15829,,0,0,,32,15829,149,94,,0,0,0,0,,0,0,0,0,,0,0,0,0,
ARCI,,1489,15513,,0,0,,127,22118,2120,958,,93,6605,631,955,,0,0,0,0,,0,0,0,0,
ESIP,,85,15388,,0,0,,103,15388,85,55,,0,0,0,0,,0,0,0,0,,0,0,0,0,
SMIL,,949,14334,,0,0,,45,30667,2025,660,,119,16333,1076,659,,0,0,0,0,,0,0,0,0,
ELSA,,710,14199,,0,0,,90,15000,750,500,,36,801,40,505,,0,0,0,0,,0,0,0,0,
AMMS,,294,13746,,0,0,,81,14996,322,214,,5,1250,27,219,,0,0,0,0,,0,0,0,0,
KOCI,,87,13678,,0,0,,148,27356,176,64,,29,13678,89,65,,0,0,0,0,,0,0,0,0,
KAQI,,96,13641,,0,0,,862,18778,133,71,,265,5137,36,71,,0,0,0,0,,0,0,0,0,
PSAB,,751,13246,,0,0,,293,101898,5756,565,,898,88652,5005,565,,0,0,0,0,,0,0,0,0,
DPUM,,97,13130,,0,0,,24,15430,114,74,,8,2300,17,74,,0,0,0,0,,0,0,0,0,
INDO,,329,13075,,0,0,,89,15575,392,252,,10,2500,63,253,,0,0,0,0,,0,0,0,0,
GGRM,,14470,12984,,0,0,,343,18409,20443,11105,,267,5425,5972,11009,,0,0,0,0,,0,0,0,0,
INDX,,220,11847,,0,0,,176,25471,425,167,,88,13624,206,151,,0,0,0,0,,0,0,0,0,
ENRG,,741,11710,,0,0,,44,14001,886,633,,20,2291,145,632,,0,0,0,0,,0,0,0,0,
MEDS,,79,11382,,0,0,,46,12763,89,70,,16,1381,10,70,,0,0,0,0,,0,0,0,0,
IBOS,,52,11118,,0,0,,20,13028,61,47,,4,1910,9,47,,0,0,0,0,,0,0,0,0,
DIGI,,42,11013,,0,0,,12,11013,42,38,,0,0,0,0,,0,0,0,0,,0,0,0,0,
LPPS,,93,10900,,0,0,,26,15100,129,85,,81,4200,36,85,,0,0,0,0,,0,0,0,0,
PURA,,45,10164,,0,0,,18,10164,45,44,,0,0,0,0,,0,0,0,0,,0,0,0,0,
MDRN,,36,10000,,0,0,,18,10000,36,36,,0,0,0,0,,0,0,0,0,,0,0,0,0,
TRON,,88,9460,,0,0,,66,28165,269,95,,59,18705,181,97,,0,0,0,0,,0,0,0,0,
IOTF,,89,9459,,0,0,,42,12225,116,95,,31,2766,26,95,,0,0,0,0,,0,0,0,0,
FLMC,,255,9340,,0,0,,8,13255,361,272,,5,3915,106,272,,0,0,0,0,,0,0,0,0,
MHKI,,199,8898,,0,0,,673,152306,3222,212,,481,143408,3023,211,,0,0,0,0,,0,0,0,0,
BLES,,136,8100,,0,0,,18,8115,136,168,,2,15,0,167,,0,0,0,0,,0,0,0,0,
UNVR,,1399,7960,,0,0,,286,20319,3553,1749,,74,12359,2154,1743,,0,0,0,0,,0,0,0,0,
ITIC,,293,7940,,0,0,,478,69310,2085,301,,436,61370,1792,292,,0,0,0,0,,0,0,0,0,
PSKT,,92,7731,,0,0,,26,8131,97,119,,1,400,5,120,,0,0,0,0,,0,0,0,0,
ABBA,,40,7722,,0,0,,11,7722,40,52,,0,0,0,0,,0,0,0,0,,0,0,0,0,
NTBK,,45,7435,,0,0,,40,8468,52,61,,6,1033,6,61,,0,0,0,0,,0,0,0,0,
INET,,186,7430,,0,0,,68,45483,1040,229,,134,38053,854,224,,0,0,0,0,,0,0,0,0,
KJEN,,139,6546,,0,0,,75,13941,303,217,,51,7395,164,222,,0,0,0,0,,0,0,0,0,
BTEK,,17,6479,,0,0,,8,6479,17,26,,0,0,0,0,,0,0,0,0,,0,0,0,0,
MITI,,208,6350,,0,0,,41,8000,263,329,,27,1650,55,333,,0,0,0,0,,0,0,0,0,
BBYB,,220,6290,,0,0,,35,8731,305,349,,14,2441,85,348,,0,0,0,0,,0,0,0,0,
HBAT,,146,6055,,0,0,,34,8301,200,241,,3,2246,54,240,,0,0,0,0,,0,0,0,0,
MAPIDRCX5A,,11,6000,,0,0,,2,6000,11,18,,0,0,0,0,,0,0,0,0,,0,0,0,0,
MPOW,,73,5781,,0,0,,59,8274,103,124,,5,2493,30,121,,0,0,0,0,,0,0,0,0,
ERAL,,186,5575,,0,0,,29,8641,288,333,,5,3066,102,334,,0,0,0,0,,0,0,0,0,
BCAP,,39,5500,,0,0,,12,5500,39,70,,0,0,0,0,,0,0,0,0,,0,0,0,0,
PTPS,,99,5202,,0,0,,197,38847,719,185,,156,33645,620,184,,0,0,0,0,,0,0,0,0,
IKAN,,90,5171,,0,0,,310,54492,798,147,,282,49321,709,144,,0,0,0,0,,0,0,0,0,
DNAR,,61,5000,,0,0,,5,5000,61,122,,0,0,0,0,,0,0,0,0,,0,0,0,0,
MANG,,24,4710,,0,0,,20,5868,30,51,,26,1158,6,51,,0,0,0,0,,0,0,0,0,
MAYA,,140,4562,,0,0,,61,9957,308,310,,51,5395,168,311,,0,0,0,0,,0,0,0,0,
SLIS,,47,4404,,0,0,,241,44030,440,100,,156,39626,393,99,,0,0,0,0,,0,0,0,0,
PRIM,,37,4107,,0,0,,25,5165,47,91,,11,1058,10,92,,0,0,0,0,,0,0,0,0,
BBRM,,36,4000,,0,0,,14,4000,36,91,,0,0,0,0,,0,0,0,0,,0,0,0,0,
IRSX,,76,3814,,0,0,,11,4339,87,200,,2,525,11,200,,0,0,0,0,,0,0,0,0,
CSIS,,50,3800,,0,0,,26,4300,57,133,,3,500,7,144,,0,0,0,0,,0,0,0,0,
DWGL,,141,3752,,0,0,,60,4800,179,372,,24,1048,38,361,,0,0,0,0,,0,0,0,0,
MPIX,,27,3700,,0,0,,25,5329,38,72,,27,1629,12,73,,0,0,0,0,,0,0,0,0,
PICO,,84,3653,,0,0,,98,5850,127,217,,38,2197,43,197,,0,0,0,0,,0,0,0,0,
AYLS,,41,3503,,0,0,,126,27136,326,120,,239,23633,285,121,,0,0,0,0,,0,0,0,0,
NZIA,,36,3468,,0,0,,66,11060,117,106,,65,7592,80,106,,0,0,0,0,,0,0,0,0,
HOKI,,25,3205,,0,0,,5,10763,84,78,,26,7558,59,79,,0,0,0,0,,0,0,0,0,
UNTD,,27,3075,,0,0,,21,4145,36,87,,6,1070,9,87,,0,0,0,0,,0,0,0,0,
DOOH,,43,3051,,0,0,,645,96633,1568,162,,997,93582,1525,163,,0,0,0,0,,0,0,0,0,
INTA,,8,2888,,0,0,,1,2888,8,29,,0,0,0,0,,0,0,0,0,,0,0,0,0,
CARS,,37,2848,,0,0,,13,8500,111,131,,29,5652,74,131,,0,0,0,0,,0,0,0,0,
MLIA,,98,2800,,0,0,,7,2800,98,350,,0,0,0,0,,0,0,0,0,,0,0,0,0,
BLUE,,122,2765,,0,0,,50,3300,141,427,,3,535,19,361,,0,0,0,0,,0,0,0,0,
BBRI,,1075,2630,,0,0,,46,4536,1863,4106,,35,1906,787,4131,,0,0,0,0,,0,0,0,0,
ADHI,,75,2600,,0,0,,26,3141,90,288,,11,541,16,290,,0,0,0,0,,0,0,0,0,
