Code,Board,Net Val(M),Net Vol,F.Buy Vol,F.Buy Val(M),F.Sell Vol,F.Sell Val(M),Last,AVG,Change,Freq,Volume,Value(M)
GOTO,RG,21016,3556035,11085303,64936,7529268,43920,59,58,1.72%,10521,16210199,94746
BUMI,RG,63735,-5500723,10256071,118160,15756794,181895,112,116,-0.88%,38146,44981554,520581
BUKA,RG,9639,552526,1521569,26501,969043,16862,175,174,0.57%,2314,2035582,35434
MSIN,RG,4414,76513,869695,51127,793182,46713,665,606,24.30%,12916,1616123,97936
BRMS,RG,131245,-2622584,850750,42772,3473334,174017,494,501,-5.00%,28621,7248269,363083
CPRO,RG,4488,-752431,792654,4688,1545085,9176,58,59,-1.69%,5205,3895447,23066
ANTM,RG,142415,416622,751346,256576,334724,114162,3390,3412,-2.59%,30703,1424731,486184
BMRI,RG,182799,392376,728931,339686,336555,156886,4680,4660,1.30%,13332,887353,413524
WIRG,RG,3987,-211701,680263,12130,891964,16118,177,181,-0.56%,24394,7973733,143964
BBCA,RG,34457,-43612,619595,494275,663207,528732,8000,7972,0.31%,32168,1035348,825388
KLBF,RG,17935,-151644,607639,71635,759283,89570,1180,1180,0.00%,13786,933463,110167
KPIG,RG,4725,264885,583757,10875,318872,6149,200,194,11.73%,22279,3307793,64030
ADRO,RG,13828,77411,502247,89041,424836,75214,1760,1778,1.73%,26312,1674369,297668
DEWA,RG,1655,-76794,474710,10819,551504,12475,222,227,-1.77%,5999,2424745,55035
SURI,RG,1565,141938,468187,5225,326249,3660,117,112,3.54%,21184,6475111,72270
SMIL,RG,16699,332275,444781,22371,112506,5672,520,496,7.00%,6046,1689581,83833
BCAP,RG,1831,-244858,443834,3234,688692,5065,75,75,5.63%,17026,4361114,32686
SCMA,RG,704,-18084,429864,13946,447948,14649,322,325,-3.01%,8108,1516764,49358
MDKA,RG,22956,88272,383243,101740,294971,78784,2620,2661,2.75%,29372,1913561,509205
PWON,RG,4643,124575,380596,14143,256021,9500,372,371,0.54%,2869,488008,18120
SMGA,RG,2691,263203,379694,3891,116491,1199,105,103,-0.94%,3242,1212568,12442
OASA,RG,6282,-251359,357549,9049,608908,15331,246,252,-0.81%,7687,4357163,109957
EMTK,RG,19544,-150265,333775,44032,484040,63576,1305,1318,-2.61%,8321,1011636,133358
PGAS,RG,32782,185909,326110,57486,140201,24704,1770,1763,0.57%,6771,488412,86091
BBRI,RG,42741,-107515,314201,125550,421716,168290,4000,3992,-0.74%,15416,874027,348932
ASLC,RG,345,39648,288834,3027,249186,2683,101,105,-8.18%,8067,3052997,31917
TLKM,RG,27551,87688,287300,90299,199612,62748,3150,3144,1.29%,7793,372238,117028
STRK,RG,2117,111415,280697,5587,169282,3471,210,202,11.11%,3747,955281,19325
LAJU,RG,762,-86697,265449,2122,352146,2885,69,81,4.55%,40814,14907652,120866
PSAB,RG,37301,-627868,264503,16017,892371,53318,565,600,-7.38%,22680,3048076,182796
IOTF,RG,432,-34039,256309,2765,290348,3197,102,109,0.00%,16856,3681420,40303
BULL,RG,1627,-105716,246725,3813,352441,5440,153,155,-0.65%,1576,863144,13345
INDY,RG,25945,-153493,246221,40032,399714,65977,1570,1650,-5.42%,27842,1708771,281964
ENRG,RG,43195,-720144,236839,14357,956983,57552,600,601,-6.25%,16471,2067489,124231
DOOH,RG,1617,-108163,214637,3109,322800,4727,143,148,0.70%,13447,2551176,37687
JPFA,RG,30928,-173028,214249,38022,387277,68950,1760,1782,4.76%,22372,1098034,195658
LPKR,RG,719,71096,213476,2155,142380,1436,101,101,-0.98%,2304,774940,7805
CUAN,RG,11360,73559,212325,32293,138766,20933,1530,1514,0.66%,14793,569095,86144
ACES,RG,1373,31298,209723,9222,178425,7850,440,439,0.92%,3595,502093,22063
HUMI,RG,1298,80655,208659,3386,128004,2088,161,163,-3.01%,12302,1908316,31196
INET,RG,103,6531,202576,4515,196045,4413,220,224,-2.65%,9732,1774348,39669
ASII,RG,5103,9207,201339,110020,192132,104917,5500,5458,0.00%,9408,269874,147305
ESSA,RG,6462,107083,192645,11680,85562,5217,605,609,2.54%,7592,1066296,64954
BMTR,RG,1286,87425,192261,2821,104836,1534,148,147,2.07%,1825,757090,11093
ERAA,RG,2495,56530,191736,8488,135206,5993,444,443,0.45%,3085,382505,16949
FUTR,RG,2994,-101862,183297,4883,285159,7877,260,271,-2.26%,21572,3613717,97907
CTRA,RG,8157,82322,176013,17448,93691,9291,990,991,0.00%,3521,328934,32591
MBMA,RG,17676,-405215,175691,7722,580906,25397,428,437,-2.28%,12007,2492779,108812
HRTA,RG,25849,-299151,173538,14879,472689,40728,835,857,-8.24%,15604,1464262,125517
TOSK,RG,209,31713,166269,1159,134556,949,65,70,-9.72%,12255,3574390,24881

