Code,Last,Change,Prev,Open,High,Low,Freq,Vol,Val(K),Cap(M)
POLU,8625,19.791666666666664%,7200,7300,8625,7000,795,2921,2357570,6468750
FILM,3800,14.803625377643503%,3310,3310,3830,3220,19840,346992,124455748,41372754
GGRM,8800,2.623906705539359%,8575,8650,8825,8650,1039,10471,9164050,16931974
SINI,3790,4.696132596685083%,3620,3580,3790,3580,15,394,142123,1822990
SRTG,2030,7.12401055408971%,1895,1905,2200,1905,14570,703620,144984790,27536615
MSIN,665,24.299065420560748%,535,540,665,520,12916,1616123,97936398,40349659
SMMT,1210,11.009174311926607%,1090,1095,1270,1095,729,13365,1615774,4144250
DNET,9300,1.0869565217391304%,9200,9225,9325,9200,27,105,97435,131911200
KETR,660,15.789473684210526%,570,580,695,565,8176,462131,29839979,1875233
CPIN,4520,2.0316027088036117%,4430,4440,4560,4370,4314,84899,38234970,74118960
JPFA,1760,4.761904761904762%,1680,1720,1840,1715,22372,1098034,195658199,20638772
ITMG,22350,0.33670033670033667%,22275,22275,22375,22275,2073,10168,22691528,25253824
MLPT,77925,0.09633911368015415%,77850,78000,78000,77900,48,361,2815330,146109375
AADI,7250,1.0452961672473868%,7175,7200,7375,7200,8558,137260,100078840,56454965
CBRE,362,24.82758620689655%,290,362,362,362,359,185471,6714050,1642780
UANG,775,9.929078014184398%,705,775,775,775,179,9395,728113,937750
LSIPZPCG6A,71,7000%,1,60,75,60,6,12,85,14200
MDKA,2620,2.7450980392156863%,2550,2570,2750,2570,29372,1913561,509204840,64119217
ARTA,3340,2.1406727828746175%,3270,3290,3450,3200,27,34,11327,1491892
BMRI,4680,1.2987012987012987%,4620,4630,4680,4620,13332,887353,413524128,432432000
RDTX,12075,0.4158004158004158%,12025,11825,12200,11825,8,8,9648,3245760
ADES,13725,0.3656307129798903%,13675,13750,13800,13675,29,45,61843,8096334
COIN,2640,1.9305019305019304%,2590,2590,2640,2390,6283,298094,75582864,38823530
AMMN,8075,0.6230529595015576%,8025,8075,8125,7975,10147,255613,205117143,585584608
AALI,7350,0.684931506849315%,7300,7375,7400,7275,1349,8907,6532683,14146459
SONA,4650,1.0869565217391304%,4600,4640,5000,4490,1110,4504,2126138,3080160
TBIG,1850,2.4930747922437675%,1805,1820,1865,1820,548,8655,1599044,41915449
TLKM,3150,1.2861736334405145%,3110,3090,3170,3090,7793,372238,117027551,312045982
SMIL,520,6.995884773662551%,486,484,530,474,6046,1689581,83832995,4550867
CMRY,4980,0.6060606060606061%,4950,4950,4980,4880,415,3749,1851772,39514721
TSPC,2270,1.3392857142857142%,2240,2260,2270,2250,131,3300,747961,10237392
KINO,1260,2.4390243902439024%,1230,1240,1275,1220,149,1308,163548,1800000
ADRO,1760,1.7341040462427744%,1730,1735,1820,1735,26312,1674369,297667898,51725853
HEAL,1635,1.8691588785046727%,1605,1620,1645,1610,1517,83303,13607586,25123328
MYOR,2130,1.4285714285714286%,2100,2130,2130,2080,1327,27197,5712240,47624030
BDMN,2540,1.1952191235059761%,2510,2510,2540,2490,287,3745,943978,24576576
MAPB,1750,1.744186046511628%,1720,1750,1770,1680,41,103,17621,4178865
DMMX,360,7.784431137724551%,334,338,390,338,2139,106155,3876360,2769231
PPRI,286,10%,260,262,296,258,3499,494402,13828929,307458
BBCA,8000,0.3134796238244514%,7975,7975,8000,7925,32168,1035348,825388010,976338396
CSRA,860,2.9940119760479043%,835,840,915,840,818,21415,1871633,1763000
SRAJ,8225,0.3048780487804878%,8200,8225,8275,8100,235,5880,4806043,100665446
BREN,8625,0.29069767441860467%,8600,8600,8725,8525,10208,153438,132324328,1153906148
MDKAHDCU5A,226,11.881188118811881%,202,262,262,226,8,1253,30923,29832
MSKY,108,28.57142857142857%,84,86,113,82,18586,6182933,63337132,215392
MDKABQCV5A,153,16.793893129770993%,131,153,153,153,1,1,15,7650
STRK,210,11.11111111111111%,189,190,224,188,3747,955281,19325209,2251585
HRUMZPCG6A,57,58.333333333333336%,36,61,61,57,31,23528,142631,11400
KPIG,200,11.731843575418994%,179,180,206,177,22279,3307793,64029762,19511426
TLKMHDCV5A,292,7.352941176470589%,272,292,292,292,1,1,29,29200
JSMR,3430,0.5865102639296188%,3410,3430,3450,3400,985,31392,10773519,24894498
WIFI,2580,0.78125%,2560,2570,2670,2530,11579,768937,199449450,13696056
ARGO,1350,1.5037593984962405%,1330,1330,1370,1325,88,382,51429,4285358
BUKK,880,2.3255813953488373%,860,880,880,855,17,139,11980,2323598
PRDA,2690,0.7490636704119851%,2670,2670,2700,2660,73,341,91146,2521875
MMIX,300,7.142857142857142%,280,280,300,274,650,56678,1624816,720064
INPP,800,2.564102564102564%,780,800,800,775,88,448,35702,8945577
BNLI,3160,0.6369426751592357%,3140,3150,3180,3120,115,1987,627211,113189765
MDKAHDCZ5A,172,12.418300653594772%,153,163,175,163,4,68,1174,34400
PALM,422,4.455445544554455%,404,406,450,406,917,53320,2322564,6639273
JPFAHDCZ5A,167,12.080536912751679%,149,174,183,164,14,20927,370869,16700
GJTLZPCJ6A,24,300%,6,24,24,23,13,2281,5472,4800
AMMS,196,9.497206703910614%,179,180,196,178,591,87582,1672699,242118
SRTGZPCG6A,112,16.666666666666664%,96,109,132,109,16,19540,239848,22400
ITMA,1090,1.3953488372093024%,1075,1080,1140,1065,449,21147,2320132,1088968
IPCC,1110,1.36986301369863%,1095,1095,1115,1095,718,23458,2594571,2018407
BLOG,570,2.7027027027027026%,555,555,610,550,3956,232859,13573563,1926308
BMAS,735,2.083333333333333%,720,715,795,665,122,944,69758,13172402
CYBR,965,1.5789473684210527%,950,955,985,940,21101,179607,17172527,6413427
BNBA,775,1.9736842105263157%,760,775,775,760,89,3015,232256,2599443
BNGA,1710,0.8849557522123894%,1695,1695,1710,1695,683,14091,2400485,42563240
ISAT,1965,0.7692307692307693%,1950,1960,1975,1950,2685,73765,14472535,63372844
ESSA,605,2.5423728813559325%,590,595,625,585,7592,1066296,64953533,10422320
ATIC,458,3.153153153153153%,444,448,462,438,217,4020,180609,1060436
EMTKZPCH6A,168,9.090909090909092%,154,168,168,168,1,1,17,33600
HOPE,162,9.45945945945946%,148,162,162,162,196,41954,679655,345118
MDKAZPCF6A,92,15%,80,100,100,92,10,396,3768,18400
PTIS,416,2.9702970297029703%,404,406,428,398,60,581,24053,228869
DEFI,398,3.1088082901554404%,386,424,424,398,47,805,32692,273532
SRTGDRCK6A,111,12.121212121212121%,99,101,133,101,51,48936,570896,11100
UNTRZPCJ6A,143,9.16030534351145%,131,143,143,143,1,50,715,28600
GGRP,236,5.357142857142857%,224,228,268,220,580,19783,469598,2858285
XBES,1041,1.0679611650485437%,1030,1041,1041,1041,1,100,10410,416
PGAS,1770,0.5681818181818182%,1760,1770,1775,1750,6771,488412,86090830,42907470
PGEO,1445,0.6968641114982579%,1435,1435,1465,1420,5284,292396,42053202,60383023
BBMD,2130,0.4716981132075472%,2120,2120,2150,2080,13,72,15135,8624773
TOTL,770,1.3157894736842104%,760,760,780,755,582,22453,1726087,2625700
BSSR,3970,0.25252525252525254%,3960,3960,3980,3940,384,3234,1280112,10387505
BBTN,1280,0.7874015748031495%,1270,1270,1285,1255,2240,110694,14099720,17784448
RAJA,2710,0.3703703703703704%,2700,2730,2880,2690,17920,849565,237825565,11455394
BTPS,1460,0.6896551724137931%,1450,1455,1480,1455,1193,82048,12024622,11134928
SILO,2200,0.45662100456621%,2190,2190,2200,2140,848,5804,1266864,28613475
ARKO,1355,0.7434944237918215%,1345,1360,1375,1320,260,5499,741563,3968111
CCSI,380,2.7027027027027026%,370,376,384,368,179,9451,355267,506667
MIKA,2400,0.41841004184100417%,2390,2410,2410,2350,2292,80288,19099964,33377956
XIJI,621,1.6366612111292964%,611,616,621,616,3,6,371,9688
ASBI,444,2.3041474654377883%,434,434,446,432,23,74,3227,154684
CUAN,1530,0.6578947368421052%,1520,1520,1535,1500,14793,569095,86143791,172000917
CLPI,1245,0.8097165991902834%,1235,1235,1260,1230,80,1050,130532,381391
BISI,890,1.1363636363636365%,880,890,915,890,59,648,57981,2670000
PNSE,835,1.2121212121212122%,825,845,850,815,88,1107,92708,666174
MREI,930,1.0869565217391304%,920,940,940,925,26,1847,173121,481546
MAIN,680,1.4925373134328357%,670,670,705,670,871,55551,3848395,1522350
MERK,2800,0.35842293906810035%,2790,2830,2830,2800,31,74,20792,1254400
BESS,1040,0.9708737864077669%,1030,1030,1040,985,124,1067,107881,3578074
MAPA,620,1.639344262295082%,610,610,625,605,1723,161876,9962278,17672480
UNVRBQCU5A,14,180%,5,14,16,13,23,62518,86666,700
JPFADRCJ6A,47,23.684210526315788%,38,47,51,47,15,8219,40581,14100
PART,124,7.82608695652174%,115,115,129,114,6945,1452647,17376848,337283
CNKO,108,8%,100,99,110,99,1093,1340814,14511307,967287
INCOYUCZ5A,93,9.411764705882353%,85,93,93,93,1,1,9,18600
RANC,418,1.951219512195122%,410,410,418,410,7,22,919,653956
NAYZ,109,7.920792079207921%,101,110,110,91,1672,232306,2355947,277951
BTON,378,2.1621621621621623%,370,384,384,370,21,176,6612,272160
SMGRBQCX5B,70,12.903225806451612%,62,71,71,70,4,2960,20816,5600
BRPTZPCX5A,294,2.797202797202797%,286,294,294,294,1,5,147,58800
SOUL,88,10%,80,88,88,80,220,33486,293920,95262
TLKMZPCF6A,100,8.695652173913043%,92,100,100,100,1,1,10,20000
IFII,252,3.278688524590164%,244,246,254,246,456,22973,576587,2371824
ESSAYUCZ5A,41,24.242424242424242%,33,42,42,41,4,510,2139,8200
INCOHDCJ6A,94,8.045977011494253%,87,91,94,91,2,495,4565,14100
MBMAZPCX5A,57,14.000000000000002%,50,60,60,57,3,2265,13571,11400
FAST,336,1.8181818181818181%,330,332,340,324,514,19195,638753,1519933
IKAN,142,4.411764705882353%,136,137,163,134,22529,3531408,53683851,118333
MDKADRCV5A,113,5.607476635514018%,107,112,122,112,13,1098,12640,22600
NANO,74,8.823529411764707%,68,74,74,74,471,174720,1292928,317123
ESSABQCZ5A,46,15%,40,41,46,39,15,2411,10818,3680
PLAN,66,10%,60,66,66,65,572,126924,837658,59183
XKID,944,0.6396588486140725%,938,944,944,944,1,1,94,11139
AKRAZPCX5A,62,10.714285714285714%,56,65,65,62,3,3,19,12400
SNLK,476,1.276595744680851%,470,470,480,464,1060,92332,4350048,214200
OBAT,452,1.345291479820628%,446,446,456,444,406,20687,929029,271832
OBMD,280,2.18978102189781%,274,276,290,274,434,30888,869277,225678
PSDN,105,6.0606060606060606%,99,102,107,98,683,82853,851046,151200
RUIS,230,2.6785714285714284%,224,226,238,224,600,37034,864207,177100
ISEA,92,6.976744186046512%,86,89,115,87,16337,3111167,32524743,127881
OLIV,72,9.090909090909092%,66,72,72,72,95,12731,91663,136805
BFIN,760,0.6622516556291391%,755,760,770,755,1075,82921,6311913,11429932
RICY,63,8.620689655172415%,58,63,63,63,84,41371,260637,40428
BJTM,515,0.9803921568627451%,510,510,515,510,624,32817,1680081,7655652
RIGS,815,0.6172839506172839%,810,810,860,800,183,5515,454044,496441
NISP,1385,0.36231884057971014%,1380,1380,1395,1380,420,20997,2910173,31461350
ESSAHDCH6A,54,10.204081632653061%,49,56,56,54,3,1140,6177,25920
LPPF,1610,0.3115264797507788%,1605,1605,1615,1595,661,9189,1477171,3635830
ALII,535,0.9433962264150944%,530,530,540,525,77,23133,1236675,8466803
BOLA,199,2.5773195876288657%,194,194,202,190,229,23811,461579,1194000
TOWR,600,0.8403361344537815%,595,600,610,595,2210,393156,23647244,35458862
RELF,56,9.803921568627452%,51,55,56,55,275,113244,633654,320759
GRIA,125,4.166666666666666%,120,140,155,120,9591,1076778,14761026,921965
SDMU,55,10%,50,55,55,55,190,180633,993482,62437
SUNI,785,0.641025641025641%,780,780,795,775,110,4290,336140,1962500
XKMS,1139,0.4409171075837742%,1134,1138,1140,1138,59,2000,227780,180076
NFCX,1750,0.28653295128939826%,1745,1750,1750,1735,38,373,65078,1166668
SIDO,530,0.9523809523809524%,525,525,535,525,2390,119158,6330281,15900000
