Code,Last,Change,Prev,Open,High,Low,Freq,Vol,Val(K),Cap(M)
DSSA,97200,6.58%,91200,91600,98000,91050,6729,20919,200051613,748976855
POLU,26175,13.80%,23000,23700,27200,23700,375,747,1937698,19631250
RISE,10550,19.89%,8800,9950,10550,9500,2655,30346,30600055,115469750
DATA,5125,12.64%,4550,4610,5150,4580,10354,136711,67283798,7046875
MLPT,78000,0.61%,77525,77550,78200,77450,53,73,566855,146250000
FILM,6075,6.58%,5700,5700,6425,5675,8951,119448,71221075,66141968
PBSA,1600,25%,1280,1445,1600,1385,3185,238214,37779977,4800000
ADES,15300,1.83%,15025,15000,15300,15000,57,314,474518,9025421
ARKO,2070,15%,1800,1805,2080,1780,2224,65978,12882709,6061985
RMKE,2940,8.49%,2710,2700,2960,2680,3625,209058,59326683,12862500
CMRY,6300,3.28%,6100,6100,6450,6000,3478,32722,20686755,49988503
DCII,262000,0.08%,261800,261825,262000,261825,6,6,157130,624541426
NRCA,1165,18.27%,985,1000,1215,970,25016,1810414,204661171,2908141
BBCA,8575,1.78%,8425,8500,8575,8475,24096,1294111,1104189093,1046512718
SSIA,1745,8.39%,1610,1610,1770,1610,24875,1039980,178384968,8210660
COIN,3390,3.67%,3270,3250,3530,3230,34029,854711,291470711,49852941
KETR,550,24.43%,442,444,550,444,10467,922305,48342811,1562695
PGJO,1125,9.76%,1025,1100,1125,1050,423,30290,3404496,895341
TPIA,7100,1.43%,7000,7050,7150,7025,4932,66566,47252955,614231970
EDGE,4460,2.29%,4360,4360,4530,4360,115,539,240761,9010315
XPLQ,510,24.39%,410,510,510,510,2,5,255,26775
UNVR,2590,3.19%,2510,2540,2620,2520,9453,373599,96011378,98808500
WIIM,1475,5.73%,1395,1400,1475,1400,4133,89295,12972799,3097314
CLPI,1580,5.33%,1500,1500,1595,1500,390,4001,623571,484015
BABY,400,25%,320,352,400,350,36965,1558450,60762476,1046491
BMRIDRCX6A,2320,3.57%,2240,2320,2320,2320,1,10,2320,18560
CBDK,6425,1.18%,6350,6500,6750,6325,8177,167854,109050510,36422968
ASSA,1165,6.88%,1090,1085,1165,1080,3397,215004,24595506,4300175
BBCADRCX6A,4010,1.78%,3940,4010,4010,4010,1,60,24060,24060
WIFI,3430,2.08%,3360,3370,3550,3350,23555,966062,333710708,18208323
BMRI,4820,1.47%,4750,4780,4850,4770,23242,1364771,655576509,445368000
BUVA,945,7.39%,880,890,985,885,34622,3455264,327332823,23252742
MINA,242,34.44%,180,180,242,180,128106,34255697,767538425,2382188
CITA,4420,1.38%,4360,4350,4510,4300,341,3671,1608027,17504797
DUTI,4390,1.39%,4330,4330,4390,4330,6,19,8233,8121500
SMMT,1700,3.66%,1640,1700,1700,1640,90,944,156207,5822500
TLKM,3610,1.69%,3550,3570,3630,3560,14967,768338,276785792,357614602
LFLO,700,9.38%,640,695,700,660,156,3046,211761,915414
BESS,1765,3.52%,1705,1740,1820,1560,305,994,170646,6072404
MASB,3170,1.93%,3110,3110,3200,3100,9,24,7489,4399127
SSMS,1590,3.58%,1535,1555,1590,1535,797,73017,11439625,15144750
PTRO,9075,0.55%,9025,9025,9225,8925,11266,215747,195407150,91530904
TCPI,7625,0.66%,7575,7625,7625,7400,2088,65977,49237138,38125000
AUTO,2660,1.92%,2610,2580,2660,2580,2205,32702,8620328,12820490
MLBI,5850,0.86%,5800,5800,5875,5800,223,2264,1323233,12325950
SILO,2550,2%,2500,2500,2600,2420,1532,37668,9532185,33165619
AADI,8750,0.57%,8700,8700,8875,8650,8149,195981,171800410,68135303
AALI,7750,0.65%,7700,7650,7750,7625,1634,8840,6825883,14916335
IMPC,2630,1.94%,2580,2580,2700,2550,4640,250407,65486194,144304155
PNGO,3050,1.67%,3000,3040,3090,3040,39,181,55520,2382813
CUAN,2200,2.33%,2150,2150,2270,2140,22341,904693,201097549,247321580
ASII,6450,0.78%,6400,6400,6500,6375,10070,406815,263127678,261118918
XISC,720,7.46%,670,835,835,710,14,34,2592,631080
INTP,6700,0.75%,6650,6700,6775,6650,1674,6366,4283268,23554539
NICK,1255,4.15%,1205,1195,1490,1190,233,1339,180146,817193
SGRO,5850,0.86%,5800,5800,5900,5725,363,22144,12825895,10638939
APEX,191,34.51%,142,143,191,143,55972,7373444,130176218,677375
KRAS,424,12.17%,378,384,436,382,35002,3989341,166686939,8202872
SKBM,530,9.50%,484,484,545,480,465,6823,350472,916955
DAYA,1535,3.02%,1490,1490,1550,1480,96,241,36400,3715540
TRIN-W2,555,8.82%,510,515,555,510,12,56,2956,81482
TRIN,560,8.74%,515,510,570,505,1460,101987,5528678,2548816
SKRN,720,6.67%,675,675,835,600,2401,65431,4355108,5400000
AKRA,1275,3.66%,1230,1230,1430,1220,6630,329816,42939787,25593680
BBRI,3940,1.03%,3900,3880,3950,3880,23843,1408681,553610084,591171042
TCID,3150,1.29%,3110,3200,3200,3030,48,832,256210,1266720
MCOL,3800,1.06%,3760,3800,3800,3760,22,36,13623,13511128
GPSO,755,5.59%,715,715,760,715,695,21118,1577600,503390
MAPI,1340,3.08%,1300,1320,1355,1305,5844,279740,37390488,22244000
BBLD,910,4%,875,900,910,900,23,130,11761,1497674
FUJI,765,4.79%,730,730,795,715,1136,34075,2573357,994500
BEER,214,19.55%,179,180,240,180,10167,749766,16200282,856000
ASPI,750,4.90%,715,715,835,690,1672,31584,2391453,511367
MARK,730,5.04%,695,695,730,690,4073,314421,22286426,2774000
ZYRX,187,22.22%,153,151,200,147,11816,913103,16862643,249334
BMSR,334,10.60%,302,302,368,302,1213,28923,976981,387173
LPPF,1715,1.78%,1685,1700,1720,1685,636,12725,2173618,3872949
ADRO,1910,1.60%,1880,1880,1910,1860,19273,1044342,197494201,56134307
CSRA,905,3.43%,875,880,905,865,826,56739,5051503,1855250
CYBR,1380,2.22%,1350,1370,1450,1340,10609,205670,28291095,9180444
MIKA,2550,1.19%,2520,2520,2570,2520,939,28362,7239301,35464078
ABMM,3100,0.98%,3070,3080,3140,3070,558,14211,4408048,8534812
BNGA,1765,1.73%,1735,1735,1790,1735,2100,85055,14963583,43932233
LUCK,138,25.45%,110,109,143,106,12836,1500121,19911639,98773
CRSN,161,19.26%,135,180,180,145,17222,1045617,17121609,465612
INET-W,426,6.50%,400,410,450,408,945,54458,2351603,116441
BSDE,985,2.60%,960,965,990,960,2946,204047,20021104,20853795
ADMF,8875,0.28%,8850,8825,8900,8800,83,504,444638,10967753
