Code,Last,Change,Prev,Open,High,Low,Freq,Vol,Val(K),Cap(M)
GOTO,57,0%,57,57,57,55,22357,50813075,283707983,65012676
BUMI,115,0.8771929824561403%,114,115,123,114,48226,50432901,595690620,42703570
REAL,98,10.112359550561797%,89,90,116,82,98688,37773388,374568081,650094
BSBK,94,-2.083333333333333%,96,99,103,91,39632,11139487,107505154,2358637
BRMS,575,3.6036036036036037%,555,565,585,555,39527,10038361,573920532,81525823
WIRG,165,-4.069767441860465%,172,172,173,164,23194,7494896,125519510,1969873
SURI,131,-13.245033112582782%,151,152,152,129,50577,7474942,102027385,829803
BULL,208,-4.587155963302752%,218,210,222,196,20976,6993415,144281823,2936503
HMSP,670,20.72072072072072%,555,560,690,560,36837,6951766,459397620,77933112
CPRO,61,-1.6129032258064515%,62,62,64,60,8010,5828424,35855590,3633915
MLPL,155,-0.641025641025641%,156,156,162,148,12383,4880802,74844414,2430760
ADCP,65,4.838709677419355%,62,62,70,61,13571,4683025,31023675,1444444
BKSL,140,0.7194244604316548%,139,141,145,138,10951,4349079,61266968,23479246
BIPI,84,5%,80,81,87,81,5047,4323758,36065036,5351657
AMRTBQCU5A,6,200%,2,2,15,2,4968,4287466,2774080,720
MHKI,193,18.404907975460123%,163,165,220,164,30622,4279435,87918396,723750
DEWA,224,-0.8849557522123894%,226,226,232,222,8135,3863684,87616797,9113985
GRIA,140,-7.28476821192053%,151,163,190,136,24782,3640340,60749255,1032601
ISAP,41,7.894736842105263%,38,39,41,37,7291,3101279,12331387,164825
SGER,354,3.508771929824561%,342,344,356,336,9650,2985293,103872728,5517766
CENT,139,17.796610169491526%,118,119,145,117,15196,2976786,40238158,4334502
MBMA,474,-2.4691358024691357%,486,488,490,472,14511,2623157,125157444,51189829
CDIA,1485,-2.302631578947368%,1520,1565,1595,1480,46435,2283382,349784329,185371621
ATLA,69,-1.4285714285714286%,70,70,71,66,11204,2233839,15211039,427771
WSBP,32,3.225806451612903%,31,31,32,31,1759,2197938,6907719,1816975
VKTR,126,9.565217391304348%,115,117,134,117,9469,2197241,27723114,5512500
FUTR,422,-0.9389671361502347%,426,426,444,412,18048,2049714,87425490,2800203
WOWS,97,-1.0204081632653061%,98,99,103,94,10466,1980063,19545085,240145
MDLN,74,4.225352112676056%,71,73,79,72,5992,1940603,14648696,927447
WMUU,28,7.6923076923076925%,26,28,28,28,1492,1860041,5208115,362353
MAPIBQCV5A,11,266.66666666666663%,3,3,19,2,3339,1841155,1601682,550
SMGA,116,3.571428571428571%,112,113,123,112,5932,1796189,20999986,1015000
DFAM,93,12.048192771084338%,83,84,109,81,11141,1792455,17550593,176686
BBRI,4130,-0.24154589371980675%,4140,4160,4170,4080,27532,1675119,689296090,619679290
PSAB,565,-0.8771929824561403%,570,585,585,555,11869,1581693,89553865,14949900
IMJS,268,10.743801652892563%,242,242,288,242,11710,1563336,42699241,2319359
SMIL,670,0.7518796992481203%,665,670,670,635,4873,1563033,102729826,5863618
EMTK,1150,-9.448818897637794%,1270,1280,1280,1150,16695,1530016,185128575,70600514
LPKR,103,0%,103,104,105,102,3654,1500282,15491487,7302496
AEGS,48,0%,48,49,51,44,4217,1500158,7250765,48292
ANTM,3600,3.151862464183381%,3490,3550,3600,3500,30184,1500139,533059697,86510753
MINA,160,-4.191616766467066%,167,168,168,159,4997,1454574,23567994,1575000
WIIM,1030,24.096385542168676%,830,830,1035,825,11015,1440128,144255894,2162870
HUMI,151,-3.821656050955414%,157,158,159,148,6799,1377904,20966635,2725034
MPPA,72,-4%,75,75,76,69,2304,1368527,9866313,933598
AYAM,178,2.2988505747126435%,174,174,178,172,4525,1368505,23954875,712000
SCMA,302,-1.3071895424836601%,306,308,310,300,6443,1365154,41680979,22339112
BUKA,151,-2.5806451612903225%,155,155,157,151,4499,1354728,20886017,15574047
ISAP-W,14,16.666666666666664%,12,13,15,12,1904,1343676,1877324,10498
ADRO,1650,-1.7857142857142856%,1680,1685,1700,1645,38057,1338781,222548662,48492988
KIJA,200,0%,200,200,200,197,1700,1331536,26580284,4164978
TOSK,67,-6.944444444444445%,72,72,72,65,5360,1329818,9128643,293144
BAPI,40,8.108108108108109%,37,34,40,34,1834,1311564,4694397,223679
BBCA,7925,-1.2461059190031152%,8025,8050,8075,7900,42089,1293129,1028838025,967185224
GOTOBQCZ5A,6,50%,4,4,9,3,1535,1282543,725163,1680
OKAS,352,20.54794520547945%,292,304,364,304,11998,1266695,44214131,835454
BMRI,4480,-1.1037527593818985%,4530,4570,4570,4460,28269,1220274,548798898,413952000
PBRX,44,-8.333333333333332%,48,45,45,44,2403,1217071,5448513,945209
BBKP,79,-1.25%,80,80,81,78,2795,1213511,9625658,14679771
OASA,258,-3.007518796992481%,266,264,272,256,4191,1205690,31651847,1637583
SMLE,228,34.9112426035503%,169,169,228,167,15404,1199609,24373200,530819
ARTOBQCU5A,7,250%,2,2,10,1,2392,1188782,470990,350
GZCO,204,-3.7735849056603774%,212,212,218,200,9278,1184461,24594450,1224000
APEX,125,-5.303030303030303%,132,130,132,123,4849,1159631,14656739,443308
LIVE,270,3.0534351145038165%,262,264,282,260,11535,1129245,30699883,1240111
BRPT,2320,-0.8547008547008548%,2340,2350,2370,2260,15398,1117138,257142224,217493546
DOOH,160,-3.614457831325301%,166,167,168,159,8138,1115340,18030446,1238223
LUCK,95,-1.0416666666666665%,96,97,116,93,6428,1111468,11640936,67996
BBNIBQCU5A,8,100%,4,4,16,2,1179,1098908,729830,320
CNMA,132,-0.7518796992481203%,133,133,138,131,4599,1077277,14451291,11001540
PTPS,177,5.9880239520958085%,167,167,189,167,7781,1073981,19385173,383650
GIAA,71,2.898550724637681%,69,70,71,70,1256,1014077,7188207,6495136
BNBR,52,8.333333333333332%,48,52,52,52,686,991188,5154178,9017675
ISEA,98,-2.9702970297029703%,101,101,110,97,6425,977278,10146105,136221
MERI,248,-10.144927536231885%,276,294,302,248,8407,948432,25650741,256713
INDY,2150,1.4150943396226416%,2120,2120,2250,2040,18132,939041,202653847,11201913
BOAT,140,6.0606060606060606%,132,135,152,132,6843,937717,13415893,490235
AGRS,83,7.792207792207792%,77,81,86,78,4472,929110,7668683,3931466
KLBFBQCV5A,6,100%,3,3,11,3,998,921830,555584,240
TRON,91,-1.0869565217391304%,92,93,102,90,4400,897568,8529205,268571
CITY,122,8.928571428571429%,112,112,140,109,6490,886927,11118477,659433
HOPE,165,13.013698630136986%,146,149,180,148,8327,869186,14547774,351509
SMGRBQCU5A,5,400%,1,1,9,1,2275,858572,373348,150
ARCI,955,1.0582010582010581%,945,965,975,930,8469,849785,80839378,23717425
ASRI,178,1.7142857142857144%,175,176,184,176,3770,836766,15082900,3497595
PTRO,4190,1.9464720194647203%,4110,4160,4230,4120,17329,836383,349211473,42260550
ASLC,100,-0.9900990099009901%,101,102,104,99,2785,824570,8311150,1274635
INET,222,-2.631578947368421%,228,230,234,220,4536,820118,18471794,1963145
TLKM,3300,1.2269938650306749%,3260,3300,3300,3260,14241,806429,264992488,326905315
GTSI,91,-4.2105263157894735%,95,95,96,88,3905,769595,7033495,1439542
DEWI,102,0%,102,102,103,100,9003,766639,7748787,204000
AYLS,111,0%,111,112,129,109,6899,746938,8899604,94730
KIOS,85,0%,85,86,92,84,3563,741894,6581064,91448
ACESBQCV5A,8,166.66666666666669%,3,3,18,2,1403,732997,510694,640
PICO,226,34.523809523809526%,168,173,226,169,8037,732101,15802345,128453
PYFA,478,-5.346534653465347%,505,505,505,470,7100,730882,35354840,5371135
INDX,170,34.92063492063492%,126,136,170,136,5917,729190,11775412,74445
