,,Net,,,Foreign Net,,,,Buy,,,,,Sell,,,,,Foreign Buy,,,,,Foreign Sell,,
Code,,Val (M),Vol,,Val(M),Vol,,Freq,Vol,Val(M),AVG,,Freq,Vol,Val(M),AVG,,Freq,Vol,Val(M),AVG,,Freq,Vol,Val(M),AVG
BUMI,,79920,6916841,,0,0,,3368,9860832,113960,116,,1889,2943991,34041,116,,0,0,0,0,,0,0,0,0,
KREN,,683,401679,,0,0,,365,606679,1031,17,,188,205000,349,17,,0,0,0,0,,0,0,0,0,
MSKY,,2315,203354,,0,0,,894,524043,5707,109,,726,320689,3392,106,,0,0,0,0,,0,0,0,0,
BNBR,,655,191666,,0,0,,52,228814,775,34,,11,37148,120,32,,0,0,0,0,,0,0,0,0,
BRMS,,6951,140052,,0,0,,469,301867,15108,500,,724,161815,8157,504,,0,0,0,0,,0,0,0,0,
BBRI,,42348,105982,,0,0,,1221,123738,49432,3995,,239,17756,7084,3990,,0,0,0,0,,0,0,0,0,
CARS,,1468,102821,,0,0,,217,158630,2253,142,,108,55809,785,141,,0,0,0,0,,0,0,0,0,
IBOS,,430,101855,,0,0,,40,103685,438,42,,12,1830,8,41,,0,0,0,0,,0,0,0,0,
ELTY,,171,100778,,0,0,,6,111000,189,17,,11,10222,17,17,,0,0,0,0,,0,0,0,0,
KOTA,,296,98519,,0,0,,23,98519,296,30,,0,0,0,0,,0,0,0,0,,0,0,0,0,
WIRG,,1779,97985,,20,-1100,,1061,618381,11193,181,,1058,520396,9414,181,,0,0,0,0,,1,1100,20,182,
TAXI,,144,92467,,0,0,,52,215800,335,16,,58,123333,191,15,,0,0,0,0,,0,0,0,0,
JGLE,,130,81196,,0,0,,104,302000,483,16,,218,220804,353,16,,0,0,0,0,,0,0,0,0,
ENRG,,4780,80648,,0,0,,390,151536,9072,599,,477,70888,4292,605,,0,0,0,0,,0,0,0,0,
CNKO,,783,72150,,0,0,,21,124596,1350,108,,34,52446,567,108,,0,0,0,0,,0,0,0,0,
CBRE,,2534,70000,,0,0,,116,70000,2534,362,,0,0,0,0,,0,0,0,0,,0,0,0,0,
GPRA,,798,58499,,0,0,,107,60346,823,136,,26,1847,25,135,,0,0,0,0,,0,0,0,0,
BSBK,,447,56986,,0,0,,143,80643,627,78,,82,23657,181,76,,0,0,0,0,,0,0,0,0,
ADMR,,5345,50793,,0,0,,552,70671,7429,1051,,160,19878,2085,1049,,0,0,0,0,,0,0,0,0,
IATA,,288,48000,,0,0,,30,50000,300,60,,1,2000,12,60,,0,0,0,0,,0,0,0,0,
OASA,,1006,39462,,0,0,,223,207190,5235,253,,496,167728,4229,252,,0,0,0,0,,0,0,0,0,
WTON,,423,38994,,0,0,,88,47611,518,109,,34,8617,95,110,,0,0,0,0,,0,0,0,0,
IKAI,,82,37051,,0,0,,9,38051,84,22,,1,1000,2,22,,0,0,0,0,,0,0,0,0,
