Code,Board,Net Val(M),Net Vol,F.Buy Vol,F.Buy Val(M),F.Sell Vol,F.Sell Val(M),Last,AVG,Change,Freq,Volume,Value(M)
BUMI,RG,63735,-5500723,10256071,118160,15756794,181895,112,116,-0.88%,38146,44981554,520581
BRMS,RG,131245,-2622584,850750,42772,3473334,174017,494,501,-5.00%,28621,7248269,363083
CPRO,RG,4488,-752431,792654,4688,1545085,9176,58,59,-1.69%,5205,3895447,23066
ENRG,RG,43195,-720144,236839,14357,956983,57552,600,601,-6.25%,16471,2067489,124231
BKSL,RG,9533,-705595,118488,1603,824083,11137,133,135,-2.92%,3790,2164609,29170
PSAB,RG,37301,-627868,264503,16017,892371,53318,565,600,-7.38%,22680,3048076,182796
MBMA,RG,17676,-405215,175691,7722,580906,25397,428,437,-2.28%,12007,2492779,108812
PYFA,RG,20790,-355290,57015,3394,412305,24184,570,584,-10.94%,11733,1308403,76473
HRTA,RG,25849,-299151,173538,14879,472689,40728,835,857,-8.24%,15604,1464262,125517
DKFT,RG,20812,-280160,37691,2741,317851,23553,710,736,-8.97%,10258,870912,64091
OASA,RG,6282,-251359,357549,9049,608908,15331,246,252,-0.81%,7687,4357163,109957
BCAP,RG,1831,-244858,443834,3234,688692,5065,75,75,5.63%,17026,4361114,32686
VIVA,RG,787,-231439,0,0,231439,787,34,34,9.68%,276,364516,1239
IMPC,RG,32797,-229652,60980,8511,290632,41308,1430,1416,-0.69%,5517,836347,118447
KIJA,RG,4269,-213446,163084,3254,376530,7523,202,200,-1.94%,2668,2689132,53790
WIRG,RG,3987,-211701,680263,12130,891964,16118,177,181,-0.56%,24394,7973733,143964
ADMR,RG,21072,-203532,55594,5746,259126,26818,1025,1040,0.00%,7280,605745,63010
ARCI,RG,17378,-201825,105521,9119,307346,26497,850,862,-5.56%,15445,1078942,93042
JPFA,RG,30928,-173028,214249,38022,387277,68950,1760,1782,4.76%,22372,1098034,195658
INDY,RG,25945,-153493,246221,40032,399714,65977,1570,1650,-5.42%,27842,1708771,281964
KLBF,RG,17935,-151644,607639,71635,759283,89570,1180,1180,0.00%,13786,933463,110167
EMTK,RG,19544,-150265,333775,44032,484040,63576,1305,1318,-2.61%,8321,1011636,133358
AMRT,RG,29553,-141121,49698,10435,190819,39989,2080,2097,-2.80%,6014,252256,52904
BBKP,RG,962,-120553,165434,1302,285987,2264,78,79,-2.50%,3342,1707682,13426
PNLF,RG,2984,-116841,121577,3112,238418,6097,256,256,-0.78%,2861,792115,20267
DOOH,RG,1617,-108163,214637,3109,322800,4727,143,148,0.70%,13447,2551176,37687
BBRI,RG,42741,-107515,314201,125550,421716,168290,4000,3992,-0.74%,15416,874027,348932
BULL,RG,1627,-105716,246725,3813,352441,5440,153,155,-0.65%,1576,863144,13345
FUTR,RG,2994,-101862,183297,4883,285159,7877,260,271,-2.26%,21572,3613717,97907
DMAS,RG,1326,-96318,27924,385,124242,1711,137,138,-0.72%,2536,369333,5099
AYAM,RG,1515,-89186,11523,195,100709,1711,171,171,0.00%,1772,1037791,17754
BUVA,RG,3273,-89075,30691,1128,119766,4401,356,367,-1.66%,10010,1522657,55867
LAJU,RG,762,-86697,265449,2122,352146,2885,69,81,4.55%,40814,14907652,120866
DEWA,RG,1655,-76794,474710,10819,551504,12475,222,227,-1.77%,5999,2424745,55035
VKTR,RG,850,-72408,13773,157,86181,1007,111,116,-10.48%,2538,484529,5619
UNIQ,RG,2551,-70366,9727,350,80093,2900,362,364,-5.24%,2743,387507,14108
UNVR,RG,11925,-70150,159610,27287,229760,39212,1705,1708,-0.29%,3425,277023,47323
GZCO,RG,1579,-69447,79538,1764,148985,3343,218,222,0.93%,11817,1627183,36092
CARS,RG,959,-67691,83660,1177,151351,2136,135,142,-2.17%,4712,1914372,27107
PBRX,RG,253,-64925,0,0,64925,253,39,39,8.33%,954,1065939,4134
TRON,RG,519,-58208,0,0,58208,519,89,90,-3.26%,1142,105412,945
MAPA,RG,3549,-57769,7126,438,64895,3987,620,615,1.64%,1723,161876,9962
MINA,RG,1035,-57396,17786,321,75182,1357,177,180,-3.80%,7914,2260227,40609
GRIA,RG,774,-53882,25064,327,78946,1101,125,137,4.17%,9591,1076778,14761
SMBR,RG,1635,-53390,40582,1218,93972,2853,292,301,-1.35%,2807,390187,11738
KREN,RG,85,-50000,0,0,50000,85,17,17,6.25%,1167,1708994,2905
TINS,RG,5293,-49868,9354,973,59222,6266,1030,1049,-3.29%,4125,254954,26732
BABP,RG,302,-48681,8412,53,57093,354,61,62,1.67%,2868,1353648,8396
BIPI,RG,381,-47528,48522,393,96050,774,81,81,0.00%,1073,550886,4453
INTA,RG,98,-44341,0,0,44341,98,23,22,9.52%,196,148430,330

