Code,Board,Net Val(M),Net Vol,F.Buy Vol,F.Buy Val(M),F.Sell Vol,F.Sell Val(M),Last,AVG,Change,Freq,Volume,Value(M)
BRMS,RG,131245,-2622584,850750,42772,3473334,174017,494,501,-5.00%,28621,7248269,363083
BUMI,RG,63735,-5500723,10256071,118160,15756794,181895,112,116,-0.88%,38146,44981554,520581
DSSA,RG,60963,-5880,24986,269585,30866,330548,106200,107324,-3.28%,6157,37859,406317
ENRG,RG,43195,-720144,236839,14357,956983,57552,600,601,-6.25%,16471,2067489,124231
BBRI,RG,42741,-107515,314201,125550,421716,168290,4000,3992,-0.74%,15416,874027,348932
PSAB,RG,37301,-627868,264503,16017,892371,53318,565,600,-7.38%,22680,3048076,182796
BBCA,RG,34457,-43612,619595,494275,663207,528732,8000,7972,0.31%,32168,1035348,825388
IMPC,RG,32797,-229652,60980,8511,290632,41308,1430,1416,-0.69%,5517,836347,118447
JPFA,RG,30928,-173028,214249,38022,387277,68950,1760,1782,4.76%,22372,1098034,195658
AMRT,RG,29553,-141121,49698,10435,190819,39989,2080,2097,-2.80%,6014,252256,52904
INDY,RG,25945,-153493,246221,40032,399714,65977,1570,1650,-5.42%,27842,1708771,281964
HRTA,RG,25849,-299151,173538,14879,472689,40728,835,857,-8.24%,15604,1464262,125517
ADMR,RG,21072,-203532,55594,5746,259126,26818,1025,1040,0.00%,7280,605745,63010
DKFT,RG,20812,-280160,37691,2741,317851,23553,710,736,-8.97%,10258,870912,64091
PYFA,RG,20790,-355290,57015,3394,412305,24184,570,584,-10.94%,11733,1308403,76473
BREN,RG,20047,-23230,38379,33084,61609,53131,8625,8624,0.29%,10208,153438,132324
EMTK,RG,19544,-150265,333775,44032,484040,63576,1305,1318,-2.61%,8321,1011636,133358
KLBF,RG,17935,-151644,607639,71635,759283,89570,1180,1180,0.00%,13786,933463,110167
MBMA,RG,17676,-405215,175691,7722,580906,25397,428,437,-2.28%,12007,2492779,108812
ARCI,RG,17378,-201825,105521,9119,307346,26497,850,862,-5.56%,15445,1078942,93042
INDF,RG,13866,-18254,15091,11461,33345,25327,7525,7592,-2.27%,3398,42369,32165
UNVR,RG,11925,-70150,159610,27287,229760,39212,1705,1708,-0.29%,3425,277023,47323
BKSL,RG,9533,-705595,118488,1603,824083,11137,133,135,-2.92%,3790,2164609,29170
INCO,RG,9241,-23613,34082,13281,57695,22522,3910,3900,-0.76%,6589,120345,46938
BBNI,RG,8505,-19504,86639,37949,106143,46454,4370,4378,-0.91%,5139,173462,75947
MIKA,RG,8313,-34995,16410,3909,51405,12222,2400,2379,0.42%,2292,80288,19100
CBDK,RG,8144,-12883,4303,2710,17186,10853,6275,6302,-1.18%,4067,57851,36458
EXCL,RG,7676,-28273,19377,5289,47650,12965,2740,2725,-0.36%,2354,92860,25300
HEAL,RG,6461,-39528,2605,425,42133,6886,1635,1634,1.87%,1517,83303,13608
OASA,RG,6282,-251359,357549,9049,608908,15331,246,252,-0.81%,7687,4357163,109957
BRPT,RG,5647,-25779,128260,28069,154039,33716,2200,2186,0.00%,9422,499833,109283
TINS,RG,5293,-49868,9354,973,59222,6266,1030,1049,-3.29%,4125,254954,26732
TOBA,RG,5122,-40557,35765,4447,76322,9568,1230,1248,-1.99%,8120,511707,63868
CPRO,RG,4488,-752431,792654,4688,1545085,9176,58,59,-1.69%,5205,3895447,23066
BBTN,RG,4482,-35229,14880,1894,50109,6376,1280,1274,0.79%,2240,110694,14100
TKIM,RG,4433,-5765,1512,1158,7277,5591,7575,7666,-1.94%,1189,13967,10707
NCKL,RG,4370,-41087,164108,17157,205195,21527,1030,1046,-3.29%,5318,461486,48277
KIJA,RG,4269,-213446,163084,3254,376530,7523,202,200,-1.94%,2668,2689132,53790
BRIS,RG,4218,-15680,50164,13602,65844,17819,2720,2708,0.00%,3705,96155,26042
WIRG,RG,3987,-211701,680263,12130,891964,16118,177,181,-0.56%,24394,7973733,143964
MAPA,RG,3549,-57769,7126,438,64895,3987,620,615,1.64%,1723,161876,9962
BUVA,RG,3273,-89075,30691,1128,119766,4401,356,367,-1.66%,10010,1522657,55867
ITMG,RG,3054,-1370,1724,3849,3094,6903,22350,22317,0.34%,2073,10168,22692
FUTR,RG,2994,-101862,183297,4883,285159,7877,260,271,-2.26%,21572,3613717,97907
PNLF,RG,2984,-116841,121577,3112,238418,6097,256,256,-0.78%,2861,792115,20267
TPIA,RG,2799,-3456,16966,13770,20422,16569,8125,8112,-0.61%,1881,35075,28451
CMNT,RG,2793,-34284,28240,2314,62524,5107,815,816,-4.12%,1036,266763,21756
INKP,RG,2691,-3374,5413,4293,8787,6983,7900,7923,-1.25%,1924,29383,23280
UNIQ,RG,2551,-70366,9727,350,80093,2900,362,364,-5.24%,2743,387507,14108
SSMS,RG,2325,-16154,14820,2131,30974,4455,1410,1446,-4.08%,1535,124383,17991

