Code,Board,Net Val(K),Net Vol,F.Buy Vol,F.Buy Val(K),F.Sell Vol,F.Sell Val(K),Last,AVG,Change,Volume,Value(K)
AADI,RG,25075745,34340,51218,37365733,16878,12289988,7250,7291,1.05%,137260,100078840
AALI,RG,2902153,3953,5269,3867330,1316,965178,7350,7334,0.68%,8907,6532683
ABBA,RG,37800,9000,9000,37800,0,0,42,42,0.00%,12938,54340
ABDA,RG,0,0,0,0,0,0,3400,0,0.00%,0,0
ABMM,RG,46604,158,546,160919,388,114315,2960,2954,0.00%,4817,1422737
ACES,RG,1372778,31298,209723,9222450,178425,7849672,440,439,0.92%,502093,22063112
ACRO,RG,9152,-264,28137,243420,28401,252571,85,88,1.19%,493780,4331816
ACST,RG,181139,-11875,3770,57504,15645,238642,144,149,-7.69%,283470,4220678
ADCP,RG,5085,1992,110942,714340,108950,709255,62,65,-10.14%,2540523,16637221
ADES,RG,6883,-5,0,0,5,6883,13725,13743,0.37%,45,61843
ADHI,RG,2580207,88108,156382,4589703,68274,2009496,290,293,-1.36%,459946,13486022
ADMF,RG,0,0,0,0,0,0,8975,8980,-0.28%,250,224510
ADMG,RG,86,17,1093,15930,1076,16016,148,147,-1.33%,12348,181723
ADMR,RG,21071554,-203532,55594,5746248,259126,26817802,1025,1040,0.00%,605745,63009647
ADRO,RG,13827534,77411,502247,89041075,424836,75213541,1760,1778,1.73%,1674369,297667898
AGAR,RG,0,0,0,0,0,0,250,250,0.00%,493,12305
AGII,RG,127782,-1550,42,3467,1592,131249,830,827,-0.60%,4837,400053
AGRO,RG,157359,-6688,10231,238598,16919,395957,232,234,-1.69%,74310,1735766
AGRS,RG,89596,-11308,4996,37544,16304,127140,77,77,-1.28%,217848,1673361
AHAP,RG,14868,1920,2540,19679,620,4811,77,77,-2.53%,97939,753407
AIMS,RG,0,0,0,0,0,0,320,301,-1.84%,417,12537
AISA,RG,74355,-5943,6818,85357,12761,159712,123,125,1.65%,236261,2956228
AKKU,RG,0,0,0,0,0,0,27,0,0.00%,0,0
AKPI,RG,1221,-22,0,0,22,1221,555,556,0.00%,286,15914
AKRA,RG,9038618,72886,98098,12166312,25212,3127694,1230,1240,-0.40%,184581,22882281
AKSI,RG,0,0,0,0,0,0,246,240,-0.81%,2526,60723
ALDO,RG,0,0,0,0,0,0,500,499,0.00%,383,19119
ALII,RG,136370,2544,21953,1173960,19409,1037590,535,535,0.94%,23133,1236675
ALKA,RG,0,0,0,0,0,0,316,317,-0.63%,104,3299
ALMI,RG,0,0,0,0,0,0,74,0,0.00%,0,0
ALTO,RG,0,0,0,0,0,0,18,0,0.00%,0,0
AMAG,RG,259,-7,0,0,7,259,370,368,0.00%,711,26200
AMAN,RG,35586,-2842,300,3630,3142,39216,123,124,-1.60%,23037,285207
AMAR,RG,33890,-1615,0,0,1615,33890,210,207,0.96%,9493,196262
AMFG,RG,0,0,0,0,0,0,3330,3321,0.00%,75,24910
AMIN,RG,53904,-2472,0,0,2472,53904,218,220,-3.54%,5866,129188
AMMN,RG,44632083,55649,163175,130917655,107526,86285573,8075,8025,0.62%,255613,205117143
AMOR,RG,2905,61,61,2905,0,0,478,477,0.00%,821,39183
AMRT,RG,29553198,-141121,49698,10435349,190819,39988547,2080,2097,-2.80%,252256,52903868
ANDI,RG,0,0,0,0,0,0,31,31,-8.82%,148287,461571
ANJT,RG,1800,10,10,1800,0,0,1795,1798,0.00%,9125,1640844
ANTM,RG,142414822,416622,751346,256576332,334724,114161510,3390,3412,-2.59%,1424731,486184080
APEX,RG,182188,-14753,68635,867510,83388,1049698,125,126,-1.57%,232828,2924729
APIC,RG,703872,-6194,2362,271248,8556,975119,1140,1141,-1.72%,42472,4846512
APII,RG,0,0,0,0,0,0,176,176,0.00%,611,10770
APLI,RG,0,0,0,0,0,0,480,479,-4.00%,97,4645
APLN,RG,133369,-12653,10327,105054,22980,238423,103,103,-1.90%,153914,1580844
ARCI,RG,17378093,-201825,105521,9119070,307346,26497163,850,862,-5.56%,1078942,93041904
AREA,RG,12929,-252,36,1836,288,14765,515,513,-1.90%,12317,631687
ARGO,RG,1217,-9,0,0,9,1217,1350,1346,1.50%,382,51429
ARII,RG,6490,-244,0,0,244,6490,258,263,-0.77%,666,17505
ARKA,RG,0,0,0,0,0,0,39,38,8.33%,129192,493869
ARKO,RG,79183,595,935,125211,340,46028,1355,1349,0.74%,5499,741563
ARMY,RG,0,0,0,0,0,0,50,0,0.00%,0,0
ARNA,RG,8904,-160,425,24160,585,33063,570,567,0.88%,6231,353358
ARTA,RG,0,0,0,0,0,0,3340,3331,2.14%,34,11327
ARTI,RG,0,0,0,0,0,0,2,0,0.00%,0,0
ARTO,RG,1255,-17,2887,632307,2904,633562,2170,2175,-0.91%,45677,9936862
ASBI,RG,0,0,0,0,0,0,444,436,2.30%,74,3227
ASDM,RG,1679,-30,22,1155,52,2834,540,538,0.00%,162,8715
ASGR,RG,61554,525,1007,118471,482,56917,1185,1177,0.00%,7028,827511
ASHA,RG,0,0,0,0,0,0,42,42,7.69%,58264,244709
ASII,RG,5103108,9207,201339,110019688,192132,104916580,5500,5458,0.00%,269874,147305163
ASJT,RG,0,0,0,0,0,0,110,110,-0.90%,618,6808
ASLC,RG,344626,39648,288834,3027443,249186,2682817,101,105,-8.18%,3052997,31917366
ASLI,RG,0,0,0,0,0,0,50,0,0.00%,0,0
ASMI,RG,0,0,0,0,0,0,29,29,7.41%,22718,65882
ASPI,RG,90667,-2134,0,0,2134,90667,422,420,-1.40%,29301,1229344
ASPR,RG,6687,-719,12,112,731,6798,93,93,-1.06%,93767,872312
ASRI,RG,324058,-18608,16229,278704,34837,602762,173,173,-0.57%,213416,3689392
ASRM,RG,0,0,0,0,0,0,276,276,-1.43%,497,13735
ASSA,RG,360839,-4278,5145,433401,9423,794240,840,840,-1.18%,41947,3523844
ATAP,RG,0,0,0,0,0,0,57,57,9.62%,14512,82718
ATIC,RG,538,-12,7,322,19,860,458,449,3.15%,4020,180609
ATLA,RG,264693,-41763,3943,24995,45706,289687,64,65,-1.54%,1405598,9144647
AUTO,RG,1869580,7834,13613,3247290,5779,1377710,2370,2381,-1.25%,24951,5941266
AVIA,RG,321281,-7533,5258,224240,12791,545521,424,427,-1.40%,32527,1387301
AWAN,RG,34534,1269,17510,454495,16241,419962,256,260,0.00%,193288,5015896
AXIO,RG,0,0,0,0,0,0,127,127,-0.78%,14526,185018
AYAM,RG,1515380,-89186,11523,195349,100709,1710729,171,171,0.00%,1037791,17753511
AYLS,RG,0,0,0,0,0,0,105,104,0.96%,15975,165395
BABP,RG,301540,-48681,8412,52542,57093,354082,61,62,1.67%,1353648,8396207
BABY,RG,77647,2540,7201,219756,4661,142109,304,305,-4.40%,87638,2676723
BACA,RG,210404,15418,15418,210404,0,0,136,137,-0.73%,22244,303638
BAIK,RG,1628,-155,0,0,155,1628,105,105,-0.94%,15261,160215
BAJA,RG,0,0,0,0,0,0,122,122,-0.81%,8969,109560
BALI,RG,856,-6,0,0,6,856,1430,1437,-3.05%,982,141135
BANK,RG,47665,557,13203,1073376,12646,1025711,810,814,-0.61%,71393,5813421
BAPA,RG,9468,1243,1443,11068,200,1600,73,79,7.35%,2237206,17669847
BAPI,RG,2300,-1000,0,0,1000,2300,23,23,4.55%,186525,429008
BATA,RG,0,0,0,0,0,0,51,51,0.00%,78,398
BATR,RG,366294,-29037,0,0,29037,366294,104,123,1.96%,2085721,25676271
BAUT,RG,0,0,0,0,0,0,38,38,0.00%,52296,197641
BAYU,RG,11388,-85,50,6500,135,17888,1320,1309,-0.38%,960,125699
BBCA,RG,34457253,-43612,619595,494274663,663207,528731915,8000,7972,0.31%,1035348,825388010
BBHI,RG,560941,-3517,2594,416064,6111,977004,1570,1597,-2.18%,28189,4503113
BBKP,RG,962138,-120553,165434,1301668,285987,2263805,78,79,-2.50%,1707682,13426030
BBLD,RG,85723,935,1027,94471,92,8748,905,922,0.00%,1289,118904
BBMD,RG,0,0,0,0,0,0,2130,2102,0.47%,72,15135
BBNI,RG,8505132,-19504,86639,37949181,106143,46454313,4370,4378,-0.91%,173462,75947255
BBRI,RG,42740791,-107515,314201,125549539,421716,168290330,4000,3992,-0.74%,874027,348932409
BBRM,RG,73492,-8252,75,660,8327,74152,87,88,-2.25%,116226,1027183
BBSI,RG,11,0,1,388,1,399,4000,3999,-0.25%,119,47591
BBSS,RG,2367,89,89,2367,0,0,262,269,-3.68%,775,20822
BBTN,RG,4482339,-35229,14880,1894077,50109,6376415,1280,1274,0.79%,110694,14099720
BBYB,RG,1817434,56275,77594,2513587,21319,696153,320,324,-1.84%,298092,9660422
BCAP,RG,1830580,-244858,443834,3234154,688692,5064734,75,75,5.63%,4361114,32686041
BCIC,RG,0,0,0,0,0,0,170,0,0.00%,0,0
BCIP,RG,6892,673,7158,67746,6485,60854,94,94,1.08%,50906,480627
BDKR,RG,237588,15040,32022,503927,16982,266339,157,157,-0.63%,149250,2345411
BDMN,RG,329822,1298,1896,479806,598,149984,2540,2521,1.20%,3745,943978
BEBS,RG,0,0,0,0,0,0,5,0,0.00%,0,0
BEEF,RG,134512,-4150,24246,778617,28396,913130,322,322,1.26%,313876,10108841
BEER,RG,13056,-1173,0,0,1173,13056,107,109,-0.93%,17013,185674
BEKS,RG,750,300,300,750,0,0,26,26,4.00%,1364316,3496666
BELI,RG,39565,-1081,0,0,1081,39565,368,365,1.10%,2538,92749
BELL,RG,27872,-3828,18923,144865,22751,172737,71,77,1.43%,3387393,25977447
BESS,RG,515,-5,0,0,5,515,1040,1011,0.97%,1067,107881
BEST,RG,317556,-26430,591,7059,27021,324615,118,120,-0.84%,142887,1709630
BFIN,RG,430394,5688,11943,908168,6255,477774,760,761,0.66%,82921,6311913
BGTG,RG,92493,-8258,6354,69005,14612,161498,110,110,-2.65%,299603,3301066
BHAT,RG,21188,-236,239,21171,475,42358,895,889,-0.56%,13860,1232301
BHIT,RG,11880,-3300,0,0,3300,11880,37,37,0.00%,185983,679546
BIKA,RG,0,0,0,0,0,0,55,0,0.00%,0,0
BIKE,RG,295078,2941,3714,372064,773,76986,1000,1001,0.00%,86572,8661938
BIMA,RG,0,0,0,0,0,0,76,78,5.56%,1621,12591
BINA,RG,1323,-3,0,0,3,1323,4410,4409,0.00%,68,29983
BINO,RG,0,0,0,0,0,0,120,121,-0.83%,5710,69142
BIPI,RG,380594,-47528,48522,393028,96050,773622,81,81,0.00%,550886,4452562
BIPP,RG,0,0,0,0,0,0,49,49,-2.00%,470,2307
BIRD,RG,777119,-4345,698,125334,5043,902452,1790,1790,-0.28%,8760,1568363
BISI,RG,7339,82,82,7339,0,0,890,895,1.14%,648,57981
BJBR,RG,50375,-650,5152,399280,5802,449655,775,775,0.00%,72569,5624045
BJTM,RG,20647,396,902,46453,506,25806,515,512,0.98%,32817,1680081
BKDP,RG,0,0,0,0,0,0,42,42,0.00%,23714,99599
BKSL,RG,9533302,-705595,118488,1603390,824083,11136692,133,135,-2.92%,2164609,29169785
BKSW,RG,461,70,245,1651,175,1190,68,68,0.00%,79685,541504
BLES,RG,93042,-5820,0,0,5820,93042,158,159,-0.63%,43716,697164
BLOG,RG,1325767,23135,29620,1714619,6485,388852,570,583,2.70%,232859,13573563
BLTA,RG,10931,-2666,0,0,2666,10931,41,41,-6.82%,288081,1175776
BLTZ,RG,0,0,0,0,0,0,1800,0,0.00%,0,0
BLUE,RG,7664,-241,0,0,241,7664,318,318,0.00%,622,19806
BMAS,RG,0,0,0,0,0,0,735,739,2.08%,944,69758
BMHS,RG,48612,-2611,3,56,2614,48668,185,185,-1.07%,40996,759265
BMRI,RG,182799460,392376,728931,339685753,336555,156886293,4680,4660,1.30%,887353,413524128
BMSR,RG,3192,-120,0,0,120,3192,252,264,-4.55%,231,6090
BMTR,RG,1286239,87425,192261,2820502,104836,1534263,148,147,2.07%,757090,11092731
BNBA,RG,56878,-739,50,3875,789,60753,775,770,1.97%,3015,232256
BNBR,RG,0,0,0,0,0,0,31,33,0.00%,2373397,7814128
BNGA,RG,1017970,5969,6892,1175367,923,157397,1710,1704,0.88%,14091,2400485
BNII,RG,21200,-1000,0,0,1000,21200,210,213,-0.94%,9966,212241
BNLI,RG,945,3,3,945,0,0,3160,3157,0.64%,1987,627211
BOAT,RG,37263,-3047,3945,47980,6992,85243,121,122,-2.42%,68249,834826
BOBA,RG,6815,-369,0,0,369,6815,183,182,1.10%,2756,50217
BOGA,RG,38377,-667,0,0,667,38377,570,579,-1.72%,4806,278158
BOLA,RG,331748,-17232,0,0,17232,331748,199,194,2.58%,23811,461579
BOLT,RG,0,0,0,0,0,0,1060,1060,-1.40%,108,11443
BOSS,RG,0,0,0,0,0,0,50,0,0.00%,0,0
BPFI,RG,2901,-83,0,0,83,2901,338,346,0.00%,1598,55231
BPII,RG,3192,-56,17,969,73,4161,570,569,0.88%,1160,66042
BPTR,RG,10,-1,0,0,1,10,96,96,-1.03%,2101,20131
BRAM,RG,0,0,0,0,0,0,5125,5166,0.00%,8,4133
BREN,RG,20047020,-23230,38379,33083778,61609,53130798,8625,8624,0.29%,153438,132324328
BRIS,RG,4217815,-15680,50164,13601558,65844,17819373,2720,2708,0.00%,96155,26041853
BRMS,RG,131244847,-2622584,850750,42771768,3473334,174016615,494,501,-5.00%,7248269,363082999
BRNA,RG,10894,150,150,10894,0,0,725,726,-2.03%,203,14745
BRPT,RG,5647048,-25779,128260,28069313,154039,33716361,2200,2186,0.00%,499833,109282710
BRRC,RG,9125,378,94080,779868,93702,788993,76,84,0.00%,2429727,20356152
BSBK,RG,16902,2471,10349,78804,7878,61902,77,77,-2.53%,2052676,15757723
BSDE,RG,258689,2373,63741,7162037,61368,6903349,1120,1121,-2.18%,228579,25630350
BSIM,RG,701,-8,0,0,8,701,885,877,0.00%,301,26405
BSML,RG,439354,-41225,28235,302369,69460,741724,105,108,-2.78%,239061,2574537
BSSR,RG,253714,-640,13,5138,653,258852,3970,3958,0.25%,3234,1280112
BSWD,RG,0,0,0,0,0,0,1410,1410,0.00%,2,282
BTEK,RG,0,0,0,0,0,0,16,16,6.67%,570189,912302
BTEL,RG,0,0,0,0,0,0,50,0,0.00%,0,0
BTON,RG,185,5,5,185,0,0,378,376,2.16%,176,6612
BTPN,RG,420,-2,0,0,2,420,2120,2102,-0.47%,52,10930
BTPS,RG,3453255,23508,54600,8008350,31092,4555095,1460,1466,0.69%,82048,12024622
BUAH,RG,145,-1,0,0,1,145,1435,1438,0.00%,1447,208014
BUDI,RG,0,0,0,0,0,0,220,219,0.00%,192,4207
BUKA,RG,9638794,552526,1521569,26501094,969043,16862300,175,174,0.57%,2035582,35433506
BUKK,RG,0,0,0,0,0,0,880,862,2.33%,139,11980
BULL,RG,1627383,-105716,246725,3812565,352441,5439949,153,155,-0.65%,863144,13345256
BUMI,RG,63734586,-5500723,10256071,118160349,15756794,181894935,112,116,-0.88%,44981554,520580512
BUVA,RG,3272968,-89075,30691,1128489,119766,4401456,356,367,-1.66%,1522657,55867118
BVIC,RG,293671,-26649,3805,42236,30454,335906,111,110,0.91%,121842,1344463
BWPT,RG,0,0,0,0,0,0,159,0,0.00%,0,0
BYAN,RG,0,0,0,0,0,0,18150,18161,0.00%,100,181605
CAKK,RG,0,0,0,0,0,0,142,147,-5.33%,9834,144318
CAMP,RG,106,-5,35,742,40,848,212,213,-0.93%,11020,234241
CANI,RG,0,0,0,0,0,0,43,43,2.38%,5346,22988
CARE,RG,79949,2763,21408,630789,18645,550840,300,295,0.00%,201439,5948314
CARS,RG,959371,-67691,83660,1176513,151351,2135884,135,142,-2.17%,1914372,27106614
CASA,RG,436307,-3859,30,3375,3889,439682,1130,1127,0.00%,42598,4800227
CASS,RG,17369,67,80,20800,13,3431,2580,2604,-2.64%,1166,303606
CBDK,RG,8143600,-12883,4303,2709808,17186,10853408,6275,6302,-1.18%,57851,36458175
CBMF,RG,0,0,0,0,0,0,50,0,0.00%,0,0
CBPE,RG,1012,53,53,1012,0,0,192,193,-1.03%,1586,30621
CBRE,RG,0,0,0,0,0,0,362,362,24.83%,185471,6714050
CBUT,RG,1356,-8,19,2850,27,4206,1510,1526,-4.73%,780,119032
CCSI,RG,18805,-515,796,30289,1311,49094,380,376,2.70%,9451,355267
CDIA,RG,665252,4551,21608,3119402,17057,2454150,1430,1440,-1.04%,357077,51424634
CEKA,RG,1608,-6,0,0,6,1608,2660,2680,-1.12%,68,18227
CENT,RG,17906,1493,4677,57332,3184,39426,120,123,-4.00%,155877,1917563
CFIN,RG,53518,-1699,36,1131,1735,54649,316,315,0.64%,8003,252221
CGAS,RG,391865,-23617,91185,1442557,114802,1834422,153,159,-7.27%,903527,14407661
CHEK,RG,325255,16051,27609,557012,11558,231757,202,201,1.00%,130628,2631298
CHEM,RG,15723,1581,3137,31333,1556,15610,99,100,0.00%,177778,1783920
CINT,RG,0,0,0,0,0,0,159,161,-2.45%,1211,19499
CITA,RG,120210,290,387,160465,97,40255,4120,4141,-0.24%,1269,525548
CITY,RG,81752,-7684,0,0,7684,81752,105,106,1.94%,90607,963083
CLAY,RG,0,0,0,0,0,0,1505,1498,0.33%,1351,202342
CLEO,RG,950338,-17095,13432,745629,30527,1695967,555,555,0.00%,113822,6315828
CLPI,RG,126,-1,0,0,1,126,1245,1243,0.81%,1050,130532
CMNP,RG,10626,-79,0,0,79,10626,1350,1349,0.00%,546,73632
CMNT,RG,2793388,-34284,28240,2313759,62524,5107147,815,816,-4.12%,266763,21756231
CMPP,RG,0,0,0,0,0,0,93,93,0.00%,371,3450
CMRY,RG,274018,-554,714,352070,1268,626088,4980,4939,0.61%,3749,1851772
CNKO,RG,318885,-29156,0,0,29156,318885,108,108,8.00%,1340814,14511307
CNMA,RG,9718,-659,35132,462887,35791,472606,132,132,-0.75%,269644,3560016
CNTX,RG,0,0,0,0,0,0,142,0,0.00%,0,0
COAL,RG,46524,7754,7754,46524,0,0,59,60,7.27%,538013,3221622
COCO,RG,522776,8655,9171,554595,516,31819,615,610,-8.21%,105905,6456690
COIN,RG,274395,1628,17663,4379249,16035,4104854,2640,2536,1.93%,298094,75582864
COWL,RG,0,0,0,0,0,0,50,0,0.00%,0,0
CPIN,RG,1265552,-2906,21587,9731154,24493,10996706,4520,4504,2.03%,84899,38234970
CPRI,RG,0,0,0,0,0,0,50,0,0.00%,0,0
CPRO,RG,4488069,-752431,792654,4688083,1545085,9176153,58,59,-1.69%,3895447,23065998
CRAB,RG,14399,-605,26,619,631,15018,238,238,-0.83%,8751,208494
CRSN,RG,0,0,0,0,0,0,113,112,-1.74%,11919,134085
CSAP,RG,1320,-45,0,0,45,1320,292,293,0.00%,1558,45649
CSIS,RG,0,0,0,0,0,0,119,117,0.00%,25616,300599
CSMI,RG,0,0,0,0,0,0,398,402,-3.40%,4999,201049
CSRA,RG,243583,2844,5513,478473,2669,234890,860,874,2.99%,21415,1871633
CTBN,RG,0,0,0,0,0,0,5125,0,0.00%,0,0
CTRA,RG,8157236,82322,176013,17448308,93691,9291072,990,991,0.00%,328934,32591329
CTTH,RG,0,0,0,0,0,0,42,42,0.00%,223,937
CUAN,RG,11360044,73559,212325,32293360,138766,20933316,1530,1514,0.66%,569095,86143791
CYBR,RG,570064,5697,106389,10189461,100692,9619397,965,956,1.58%,179607,17172527
DAAZ,RG,19025,-60,0,0,60,19025,3140,3149,-0.32%,857,269886
DADA,RG,8400,-2000,0,0,2000,8400,42,42,7.69%,92942,390356
DART,RG,0,0,0,0,0,0,164,165,0.61%,457,7533
DATA,RG,0,0,0,0,0,0,4560,0,0.00%,0,0
DAYA,RG,1623,-16,0,0,16,1623,1020,1013,0.49%,100,10125
DCII,RG,0,0,0,0,0,0,325025,328548,-0.82%,23,755660
DEAL,RG,0,0,0,0,0,0,6,0,0.00%,0,0
DEFI,RG,424,-10,0,0,10,424,398,406,3.11%,805,32692
DEPO,RG,4111,205,229,4595,24,485,200,200,1.01%,10960,218922
DEWA,RG,1655269,-76794,474710,10819387,551504,12474656,222,227,-1.77%,2424745,55034829
DEWI,RG,377730,-34563,23305,254212,57868,631942,110,109,0.00%,451737,4939898
DFAM,RG,4239,527,732,6023,205,1784,81,85,-5.81%,144859,1232723
DGIK,RG,54907,5714,6021,57852,307,2944,95,96,-4.04%,64736,622641
DGNS,RG,44,-3,8,118,11,162,148,147,1.37%,3356,49270
DGWG,RG,23204,-615,12729,536038,13344,559242,418,421,-1.42%,89331,3757184
DIGI,RG,0,0,0,0,0,0,31,31,-8.82%,31097,97398
DILD,RG,184602,-13362,3566,48886,16928,233488,138,138,0.00%,72716,1001904
DIVA,RG,89658,-6886,909,12181,7795,101838,126,130,-5.26%,95246,1241340
DKFT,RG,20812349,-280160,37691,2740673,317851,23553021,710,736,-8.97%,870912,64090727
DKHH,RG,74195,-6636,80,872,6716,75067,109,110,-2.68%,152470,1678755
DLTA,RG,0,0,0,0,0,0,1965,1959,-0.51%,1989,389634
DMAS,RG,1326236,-96318,27924,385021,124242,1711257,137,138,-0.72%,369333,5099495
DMMX,RG,209636,-5198,11594,412877,16792,622513,360,365,7.78%,106155,3876360
DMND,RG,1026,-18,0,0,18,1026,570,569,-0.87%,419,23857
DNAR,RG,4695,-388,0,0,388,4695,120,121,-1.64%,28673,347264
DNET,RG,923,-1,0,0,1,923,9300,9280,1.09%,105,97435
DOID,RG,233871,-5239,61058,2211160,66297,2445031,360,365,-2.70%,418483,15279247
DOOH,RG,1617489,-108163,214637,3109288,322800,4726776,143,148,0.70%,2551176,37686899
DOSS,RG,18948,-1309,0,0,1309,18948,140,143,-1.41%,15168,217155
DPNS,RG,0,0,0,0,0,0,260,262,0.00%,582,15230
DPUM,RG,1962,-293,167,1136,460,3098,68,73,3.03%,988096,7191683
DRMA,RG,182492,1842,3756,376251,1914,193759,985,1002,-2.48%,12760,1278735
DSFI,RG,11878,-1291,4160,35679,5451,47556,84,86,2.44%,377191,3243151
DSNG,RG,1894282,11736,131569,21456638,119833,19562356,1625,1635,-3.27%,432662,70743198
DSSA,RG,60962840,-5880,24986,269585265,30866,330548105,106200,107324,-3.28%,37859,406317293
DUCK,RG,0,0,0,0,0,0,176,0,0.00%,0,0
DUTI,RG,0,0,0,0,0,0,4250,4581,-5.56%,595,272568
DVLA,RG,1589,10,10,1589,0,0,1600,1572,0.31%,1041,163632
DWGL,RG,46,-2,0,0,2,46,230,226,0.00%,897,20311
DYAN,RG,5441,-585,0,0,585,5441,90,92,1.12%,35421,324724
EAST,RG,301461,-31959,0,0,31959,301461,95,95,-1.04%,70092,665119
ECII,RG,0,0,0,0,0,0,186,185,-2.11%,4814,89279
EDGE,RG,2976,-7,5,2126,12,5102,4250,4235,-0.23%,154,65212
EKAD,RG,0,0,0,0,0,0,187,187,-0.53%,1246,23254
ELIT,RG,102637,5468,7880,148611,2412,45974,188,189,-1.57%,119523,2259672
ELPI,RG,3063,-81,53,1995,134,5058,378,375,-1.56%,15580,583573
ELSA,RG,779190,15607,29646,1479069,14039,699879,498,499,-0.40%,109054,5442551
ELTY,RG,0,0,0,0,0,0,17,17,-5.56%,1051060,1786802
EMDE,RG,0,0,0,0,0,0,97,98,-2.02%,41441,406995
EMTK,RG,19544025,-150265,333775,44032326,484040,63576351,1305,1318,-2.61%,1011636,133358107
ENAK,RG,376750,-5500,0,0,5500,376750,700,688,-0.71%,8407,578100
ENRG,RG,43195302,-720144,236839,14356910,956983,57552212,600,601,-6.25%,2067489,124231480
ENVY,RG,0,0,0,0,0,0,50,0,0.00%,0,0
ENZO,RG,0,0,0,0,0,0,40,39,0.00%,2231,8787
EPAC,RG,0,0,0,0,0,0,36,40,-10.00%,111365,448195
EPMT,RG,916,4,4,916,0,0,2290,2300,-0.87%,1017,233885
ERAA,RG,2495193,56530,191736,8488225,135206,5993033,444,443,0.45%,382505,16949123
ERAL,RG,746804,-23055,10895,353562,33950,1100366,324,323,0.00%,81158,2624014
ERTX,RG,13264,-983,749,9579,1732,22842,125,128,4.17%,131632,1690660
ESIP,RG,0,0,0,0,0,0,50,50,2.04%,6481,32146
ESSA,RG,6462346,107083,192645,11679731,85562,5217386,605,609,2.54%,1066296,64953533
ESTA,RG,0,0,0,0,0,0,69,69,-2.82%,65484,451018
ESTI,RG,0,0,0,0,0,0,54,53,0.00%,6021,31856
